N,n_iters,mean_us,max_us,wcet_tightness,p99_us,p999_us
11,500,70.035,312.8,4.4663382594417085,174.52299999999997,306.5126000000004
50,500,93.265,462.2,4.955771189620973,247.321,369.4359000000062
100,500,152.5776,457.8,3.000440431622991,310.44499999999994,403.35910000000365
500,500,869.6066,1397.5,1.6070485205609066,1154.6349999999998,1343.5581000000036
