trial,edf_hc_miss,psr_hc_miss
0,0.9134615384615384,0.0
1,0.9900990099009901,0.0
2,0.9583333333333334,0.0
3,0.9824561403508771,0.02631578947368421
4,0.9807692307692307,0.0
5,0.9387755102040817,0.0
6,0.9278350515463918,0.0
7,0.9345794392523364,0.0
8,0.9587628865979382,0.0
9,0.9156626506024096,0.0
10,0.9591836734693877,0.0
11,0.92,0.0
12,0.972972972972973,0.0
13,0.9555555555555556,0.0
14,0.9591836734693877,0.0
15,0.9611650485436893,0.0
16,0.9514563106796117,0.0
17,0.9622641509433962,0.0
18,0.9523809523809523,0.0
19,0.9541284403669725,0.0
20,0.9363636363636364,0.0
21,0.925531914893617,0.0
22,0.9166666666666666,0.0
23,0.9629629629629629,0.0
24,0.9439252336448598,0.009345794392523364
25,0.8888888888888888,0.0
26,0.9789473684210527,0.0
27,0.963963963963964,0.08108108108108109
28,0.945054945054945,0.02197802197802198
29,0.9175257731958762,0.0
30,0.9540229885057471,0.0
31,0.9680851063829787,0.0
32,0.9532710280373832,0.0
33,0.9320388349514563,0.0
34,0.9555555555555556,0.0
35,0.9514563106796117,0.0
36,0.956989247311828,0.0
37,0.9537037037037037,0.0
38,0.9690721649484536,0.0
39,0.9724770642201835,0.0
40,0.9813084112149533,0.0
41,0.9514563106796117,0.0
42,0.9357798165137615,0.0
43,0.9615384615384616,0.0
44,0.9514563106796117,0.0
45,0.9439252336448598,0.0
46,0.9649122807017544,0.0
47,0.9493670886075949,0.0
48,0.9468085106382979,0.0
49,0.9456521739130435,0.0
50,0.9545454545454546,0.0
51,0.9426229508196722,0.03278688524590164
52,0.9727272727272728,0.0
53,0.9789473684210527,0.0
54,0.9322033898305084,0.0
55,0.9423076923076923,0.0
56,0.96875,0.0
57,0.96875,0.0
58,0.9574468085106383,0.0
59,0.9380530973451328,0.0
60,0.9223300970873787,0.0
61,0.9183673469387755,0.0
62,0.9722222222222222,0.0
63,0.9456521739130435,0.0
64,0.941747572815534,0.0
65,0.9651162790697675,0.0
66,0.9345794392523364,0.0
67,0.9405940594059405,0.0
68,0.981651376146789,0.0
69,0.9479166666666666,0.0
70,0.9325842696629213,0.0
71,0.956989247311828,0.0
72,0.9333333333333333,0.0
73,0.9647058823529412,0.0
74,0.93,0.0
75,0.9680851063829787,0.0
76,0.9591836734693877,0.0
77,0.9411764705882353,0.0
78,0.9680851063829787,0.0
79,0.9292035398230089,0.0
80,0.95,0.0
81,0.9642857142857143,0.0
82,0.9340659340659341,0.0
83,0.9382716049382716,0.0
84,0.9734513274336283,0.20353982300884957
85,0.9550561797752809,0.0
86,0.956989247311828,0.0
87,0.9428571428571428,0.0
88,0.9690721649484536,0.0
89,0.9375,0.0
90,0.9339622641509434,0.0
91,0.967032967032967,0.0
92,0.9494949494949495,0.0
93,0.8958333333333334,0.0
94,0.9484536082474226,0.0
95,0.9809523809523809,0.0
96,0.9514563106796117,0.0
97,0.9361702127659575,0.0
98,0.918918918918919,0.0
99,0.9787234042553191,0.0
