workload,hc_frac,trial,scheduler,hc_miss_rate,lc_miss_rate
asset_transfer,0.2,7,EDF (baseline),0.9333333333333333,0.9073170731707317
asset_transfer,0.2,7,LST,1.0,0.9926829268292683
asset_transfer,0.2,7,EQDF,1.0,0.9926829268292683
asset_transfer,0.2,7,PSR (primary),0.0,1.0
asset_transfer,0.2,7,PSR (slack-aware),0.0,1.0
asset_transfer,0.2,8,EDF (baseline),0.8526315789473684,0.8790123456790123
asset_transfer,0.2,8,LST,0.9894736842105263,0.9851851851851852
asset_transfer,0.2,8,EQDF,1.0,0.9925925925925926
asset_transfer,0.2,8,PSR (primary),0.0,1.0
asset_transfer,0.2,8,PSR (slack-aware),0.0,1.0
asset_transfer,0.2,9,EDF (baseline),0.9354838709677419,0.8943488943488943
asset_transfer,0.2,9,LST,0.978494623655914,0.9852579852579852
asset_transfer,0.2,9,EQDF,0.978494623655914,0.995085995085995
asset_transfer,0.2,9,PSR (primary),0.0,1.0
asset_transfer,0.2,9,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,0,EDF (baseline),0.8920863309352518,0.9307479224376731
asset_transfer,0.3,0,LST,0.9928057553956835,0.9806094182825484
asset_transfer,0.3,0,EQDF,1.0,0.9916897506925207
asset_transfer,0.3,0,PSR (primary),0.0,1.0
asset_transfer,0.3,0,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,1,EDF (baseline),0.9036144578313253,0.8802395209580839
asset_transfer,0.3,1,LST,0.9939759036144579,0.9940119760479041
asset_transfer,0.3,1,EQDF,0.9879518072289156,0.9970059880239521
asset_transfer,0.3,1,PSR (primary),0.0,1.0
asset_transfer,0.3,1,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,2,EDF (baseline),0.8543046357615894,0.8911174785100286
asset_transfer,0.3,2,LST,1.0,0.9885386819484241
asset_transfer,0.3,2,EQDF,1.0,0.9914040114613181
asset_transfer,0.3,2,PSR (primary),0.0,1.0
asset_transfer,0.3,2,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,3,EDF (baseline),0.8666666666666667,0.9044776119402985
asset_transfer,0.3,3,LST,0.9878787878787879,0.9880597014925373
asset_transfer,0.3,3,EQDF,0.9939393939393939,0.9940298507462687
asset_transfer,0.3,3,PSR (primary),0.0,1.0
asset_transfer,0.3,3,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,4,EDF (baseline),0.9251700680272109,0.9405099150141643
asset_transfer,0.3,4,LST,0.9931972789115646,0.9801699716713881
asset_transfer,0.3,4,EQDF,0.9931972789115646,0.9915014164305949
asset_transfer,0.3,4,PSR (primary),0.0,1.0
asset_transfer,0.3,4,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,5,EDF (baseline),0.8963414634146342,0.9107142857142857
asset_transfer,0.3,5,LST,0.9878048780487805,0.9702380952380952
asset_transfer,0.3,5,EQDF,1.0,0.9940476190476191
asset_transfer,0.3,5,PSR (primary),0.0,1.0
asset_transfer,0.3,5,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,6,EDF (baseline),0.8675496688741722,0.8825214899713467
asset_transfer,0.3,6,LST,0.9867549668874173,0.9770773638968482
asset_transfer,0.3,6,EQDF,0.9933774834437086,0.994269340974212
asset_transfer,0.3,6,PSR (primary),0.0,1.0
asset_transfer,0.3,6,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,7,EDF (baseline),0.9148936170212766,0.9108635097493036
asset_transfer,0.3,7,LST,0.9929078014184397,0.9944289693593314
asset_transfer,0.3,7,EQDF,1.0,0.9916434540389972
asset_transfer,0.3,7,PSR (primary),0.0,1.0
asset_transfer,0.3,7,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,8,EDF (baseline),0.8639455782312925,0.8781869688385269
asset_transfer,0.3,8,LST,0.9795918367346939,0.9886685552407932
asset_transfer,0.3,8,EQDF,0.9931972789115646,0.9943342776203966
asset_transfer,0.3,8,PSR (primary),0.0,1.0
asset_transfer,0.3,8,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,9,EDF (baseline),0.9473684210526315,0.882183908045977
asset_transfer,0.3,9,LST,0.9868421052631579,0.9827586206896551
asset_transfer,0.3,9,EQDF,0.9868421052631579,0.9942528735632183
asset_transfer,0.3,9,PSR (primary),0.0,1.0
asset_transfer,0.3,9,PSR (slack-aware),0.0,1.0
asset_transfer,0.5,0,EDF (baseline),0.9110169491525424,0.928030303030303
asset_transfer,0.5,0,LST,0.9872881355932204,0.9810606060606061
asset_transfer,0.5,0,EQDF,0.9957627118644068,0.9924242424242424
asset_transfer,0.5,0,PSR (primary),0.8347457627118644,1.0
asset_transfer,0.5,0,PSR (slack-aware),0.8135593220338984,1.0
asset_transfer,0.5,1,EDF (baseline),0.8973384030418251,0.8776371308016878
asset_transfer,0.5,1,LST,0.9961977186311787,0.9915611814345991
asset_transfer,0.5,1,EQDF,0.9923954372623575,0.9957805907172996
asset_transfer,0.5,1,PSR (primary),0.3650190114068441,1.0
asset_transfer,0.5,1,PSR (slack-aware),0.39923954372623577,1.0
asset_transfer,0.5,2,EDF (baseline),0.8365019011406845,0.9282700421940928
asset_transfer,0.5,2,LST,0.9961977186311787,0.9873417721518988
asset_transfer,0.5,2,EQDF,0.9961977186311787,0.9915611814345991
