connectivity,seed,mean_cost,p99_cost,failover_rate
1.0,0,1.010411035799328,1.0528885284918332,0.0
1.0,1,1.0103740111389536,1.042926136869121,0.0
1.0,2,1.0104014306022662,1.0433179906207541,0.0
1.0,3,1.0113899780302864,1.0475886953017557,0.0
1.0,4,1.0106967689044317,1.043633694406198,0.0
0.9,0,1.0133793321305622,1.0660426531029366,0.0
0.9,1,1.012467391261675,1.0569766797762947,0.0
0.9,2,1.0129533609539403,1.0573337309212962,0.0
0.9,3,1.0124658645627505,1.0540831303476519,0.0
0.9,4,1.0127782651764283,1.0612879265131543,0.0
0.7,0,1.0167818310613628,1.0752068031693744,0.0
0.7,1,1.0167539728575195,1.0753336470083656,0.0
0.7,2,1.0167179818064769,1.0711403125013164,0.0
0.7,3,1.0177270573376864,1.0946562737271333,0.0
0.7,4,1.0173393648904157,1.0880445733313848,0.0
0.5,0,1.222166644018143,1.1145170005160303,0.002
0.5,1,1.42182784823645,1.1644632111627211,0.004
0.5,2,1.2223516503884082,1.1440026639589158,0.002
0.5,3,1.4213004651139267,1.220848951597557,0.004
0.5,4,1.2224207916286542,1.1603297125452336,0.002
0.3,0,5.600129509970073,100.0,0.046
0.3,1,7.579492664190243,100.0,0.066
0.3,2,5.397231237066275,100.0,0.044
0.3,3,4.210956870923152,100.0,0.032
0.3,4,4.211103583570689,100.0,0.032
