epsilon,seed,mean_cost,p99_cost
0.1,0,1.3108078746822485,13.806600098291947
0.1,1,1.210324628881588,13.9582007669753
0.1,2,1.3154833454501713,15.468102949100837
0.1,3,1.1625805965890914,12.69818455119405
0.1,4,1.1232314998888675,13.947307165277422
0.1,5,1.0814348457871499,13.777044058853955
0.1,6,1.1575692883113844,13.010676391347156
0.1,7,1.24940757973414,15.157644702299796
0.5,0,0.7839992097859733,7.238747984626324
0.5,1,0.8361041157597859,7.452726280643745
0.5,2,0.8723558664043658,6.679248931243185
0.5,3,0.7815702526151918,6.206169879843209
0.5,4,0.8726423152881446,7.481028901269293
0.5,5,0.8205288945047698,7.384530071662037
0.5,6,0.7770616226304804,6.650678409830687
0.5,7,0.8797173434223271,8.0769469252572
1.0,0,0.769187826332665,6.058497653803223
1.0,1,0.791214223842661,6.336908405256675
1.0,2,0.7806958374729905,7.354516348493605
1.0,3,0.7941489494664234,6.079898580420548
1.0,4,0.7439607693905473,6.1311530395649765
1.0,5,0.7624368974195784,6.438101305297862
1.0,6,0.8346809629879292,8.395094946891323
1.0,7,0.7542088492843889,6.259806572300175
2.0,0,0.7500231244861827,5.746848574776738
2.0,1,0.7839423476141243,7.466806355261976
2.0,2,0.7307744504692778,6.383431413189562
2.0,3,0.7702221656639832,6.652045885423388
2.0,4,0.7754835877569682,6.668892192068685
2.0,5,0.8016764465725743,7.840148350266389
2.0,6,0.7205160272062097,5.2743368486723305
2.0,7,0.7953390216488806,6.722526136309893
5.0,0,0.774872748318802,7.12651660572083
5.0,1,0.7347729387997513,6.210594589031448
5.0,2,0.7753797630678638,7.441010314540731
5.0,3,0.7007382579264546,5.2501336106375
5.0,4,0.7656891919962266,6.700194062054645
5.0,5,0.7594560413826049,7.009430227113546
5.0,6,0.7089267056322066,5.387097144075763
5.0,7,0.7261659575262364,5.743061439946169
1000000.0,0,0.7036745413459782,5.5403918485320105
1000000.0,1,0.8226269019108376,7.618980312181861
1000000.0,2,0.6993047789707992,5.148897750471312
1000000.0,3,0.7009279017715138,5.0049681606556105
1000000.0,4,0.7230748117191794,5.966926343604786
1000000.0,5,0.7608428138262224,6.626916547700227
1000000.0,6,0.8090321365355159,6.779473591273376
1000000.0,7,0.7082926139044223,6.559729579031401
