snapshot_period,seed,mean_cost,p99_cost
None,0,0.7482175734280744,6.701591460027938
None,1,0.7064249318281729,5.943448014926353
None,2,0.7698409130252005,6.513940018710058
None,3,0.7732835792610012,7.6324838452482116
None,4,0.7301187180701226,6.709224248552814
200,0,0.7053635927936857,6.033577767237929
200,1,0.7021810298571711,5.910308139165873
200,2,0.7183619930292209,6.0886403173414365
200,3,0.678837620555517,5.211754648490847
200,4,0.7773103288552881,7.801793258433379
500,0,0.6878876555181144,5.9054933490332475
500,1,0.7317948267693399,6.213138162603847
500,2,0.7155147121864517,6.42429096879833
500,3,0.6877466865074416,5.311846208288515
500,4,0.7116789556224573,6.416544572283341
1000,0,0.6930578824378235,5.467054067901133
1000,1,0.8086155485079867,7.618229912630004
1000,2,0.6651389544499996,4.5892095693630175
1000,3,0.6720726431697719,4.981214195040258
1000,4,0.7033497808983732,5.2581482269633755
