concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,2786,10,0,3.59,272.0,264,353,353,353
4,2166,30,10,13.85,207.3,206,228,230,230
16,2447,120,40,49.04,212.4,195,357,386,390
32,4024,160,160,39.76,339.0,335,433,475,501
64,6887,320,320,46.46,560.7,588,662,709,771
