concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,7815,15,0,1.92,508.8,477,889,889,889
2,6098,30,0,4.92,393.5,395,469,470,470
4,4657,60,0,12.88,263.9,309,408,445,445
8,4703,120,0,25.52,281.2,240,393,410,417
16,4777,240,0,50.24,284.3,271,414,511,541
