idx,leader_before,leader_after,fp_node,fp_node_won,live,time_to_leader_s,fp_delivered,advice_seen_on
1,-,-,-,-,-,-,-,noleader
2,1,3,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
3,-,-,-,-,-,-,-,noleader
4,6,1,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
5,-,-,-,-,-,-,-,noleader
6,4,7,4,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
7,-,-,-,-,-,-,-,noleader
8,5,2,-,0,1,2,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
9,6,3,5,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
10,7,1,5,0,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
