4,1,1780853192750,1780853192945,195,OK
4,2,1780853192950,1780853193161,211,OK
4,3,1780853193172,1780853193394,222,OK
4,4,1780853193404,1780853193620,216,OK
4,5,1780853193633,1780853193847,214,OK
4,6,1780853193855,1780853194071,216,OK
4,7,1780853194076,1780853194325,249,OK
4,8,1780853194333,1780853194581,248,OK
4,9,1780853194589,1780853194822,233,OK
4,10,1780853194828,1780853195038,210,OK
4,11,1780853195048,1780853195273,225,OK
4,12,1780853195284,1780853195527,243,OK
4,13,1780853195533,1780853195752,219,OK
4,14,1780853195761,1780853195997,236,OK
4,15,1780853196004,1780853196251,247,OK
