concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6675,15,0,2.25,435.7,375,1217,1217,1217
2,4501,30,0,6.67,288.6,285,357,362,362
4,4781,60,0,12.55,300.4,300,429,433,433
8,5266,120,0,22.79,334.0,334,369,375,377
16,28495,166,74,5.83,2483.0,2184,4079,4097,4098
