concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6697,15,0,2.24,436.3,379,1262,1262,1262
2,4407,15,15,3.40,286.1,290,338,338,338
4,4553,30,30,6.59,291.7,286,349,353,353
8,5163,60,60,11.62,324.9,326,353,361,361
16,4906,120,120,24.46,285.1,263,505,535,540
