intensity,seed,auc,fp_rate,tp_rate
0.01,0,0.5316916666666667,0.28833333333333333,0.27166666666666667
0.01,1,0.5034694444444444,0.315,0.31
0.01,2,0.5155444444444445,0.32,0.285
0.01,3,0.5029638888888889,0.31333333333333335,0.29833333333333334
0.01,4,0.5076138888888889,0.305,0.30833333333333335
0.01,5,0.5122777777777778,0.2966666666666667,0.34
0.01,6,0.505411111111111,0.315,0.2966666666666667
0.01,7,0.5182666666666667,0.295,0.32
0.01,8,0.52355,0.285,0.34
0.01,9,0.5155000000000001,0.31666666666666665,0.32666666666666666
0.01,10,0.5463166666666667,0.2633333333333333,0.3416666666666667
0.01,11,0.503163888888889,0.3016666666666667,0.30666666666666664
0.01,12,0.5196999999999999,0.31833333333333336,0.32
0.01,13,0.5125444444444444,0.2833333333333333,0.2916666666666667
0.01,14,0.5110583333333334,0.30833333333333335,0.35
0.01,15,0.5140194444444444,0.30333333333333334,0.295
0.01,16,0.5130055555555555,0.32666666666666666,0.33666666666666667
0.01,17,0.5153444444444445,0.3416666666666667,0.305
0.01,18,0.5159444444444445,0.30333333333333334,0.315
0.01,19,0.5051888888888889,0.3016666666666667,0.31
0.01,20,0.5200555555555555,0.31666666666666665,0.2833333333333333
0.01,21,0.5019333333333333,0.305,0.31333333333333335
0.01,22,0.5210138888888889,0.32666666666666666,0.32166666666666666
0.01,23,0.5088611111111111,0.2966666666666667,0.2966666666666667
0.01,24,0.5309194444444445,0.2733333333333333,0.3416666666666667
0.01,25,0.505875,0.29833333333333334,0.32
0.01,26,0.501925,0.3016666666666667,0.33
0.01,27,0.5026861111111112,0.3283333333333333,0.3333333333333333
0.01,28,0.5028861111111111,0.295,0.2866666666666667
0.01,29,0.514075,0.30666666666666664,0.3
0.05,0,0.5203916666666667,0.28833333333333333,0.2866666666666667
0.05,1,0.5075222222222222,0.315,0.33166666666666667
0.05,2,0.5044111111111111,0.32,0.3
0.05,3,0.5082583333333334,0.31333333333333335,0.32166666666666666
0.05,4,0.5034472222222223,0.305,0.325
0.05,5,0.5229444444444444,0.2966666666666667,0.35
0.05,6,0.5055305555555556,0.315,0.315
0.05,7,0.5299499999999999,0.295,0.3416666666666667
0.05,8,0.5346444444444445,0.285,0.35333333333333333
0.05,9,0.5268638888888888,0.31666666666666665,0.3516666666666667
0.05,10,0.5569861111111112,0.2633333333333333,0.35333333333333333
0.05,11,0.5141805555555555,0.3016666666666667,0.32
0.05,12,0.5086138888888889,0.31833333333333336,0.3333333333333333
0.05,13,0.5240472222222222,0.2833333333333333,0.3283333333333333
0.05,14,0.5218694444444444,0.30833333333333335,0.35833333333333334
0.05,15,0.5252305555555556,0.30333333333333334,0.305
0.05,16,0.5239361111111112,0.32666666666666666,0.3516666666666667
0.05,17,0.5042444444444445,0.3416666666666667,0.31833333333333336
0.05,18,0.5274416666666666,0.30333333333333334,0.33
0.05,19,0.5063944444444445,0.3016666666666667,0.325
0.05,20,0.5084416666666667,0.31666666666666665,0.3
0.05,21,0.5130833333333333,0.305,0.33166666666666667
0.05,22,0.5096638888888889,0.32666666666666666,0.3383333333333333
0.05,23,0.5202749999999999,0.2966666666666667,0.305
0.05,24,0.5426611111111111,0.2733333333333333,0.35
0.05,25,0.5176166666666666,0.29833333333333334,0.33166666666666667
0.05,26,0.5131444444444444,0.3016666666666667,0.3383333333333333
0.05,27,0.5139972222222222,0.3283333333333333,0.3466666666666667
0.05,28,0.514936111111111,0.295,0.29833333333333334
0.05,29,0.5025777777777778,0.30666666666666664,0.31833333333333336
0.1,0,0.5063055555555556,0.28833333333333333,0.3
0.1,1,0.5208555555555556,0.315,0.3466666666666667
0.1,2,0.5099944444444444,0.32,0.30833333333333335
0.1,3,0.5223805555555556,0.31333333333333335,0.3383333333333333
0.1,4,0.5173916666666667,0.305,0.3433333333333333
0.1,5,0.5359527777777777,0.2966666666666667,0.37166666666666665
0.1,6,0.5195944444444445,0.315,0.33166666666666667
0.1,7,0.5446861111111111,0.295,0.35833333333333334
0.1,8,0.5486833333333333,0.285,0.385
0.1,9,0.5409277777777778,0.31666666666666665,0.36666666666666664
0.1,10,0.5696944444444445,0.2633333333333333,0.38
0.1,11,0.527875,0.3016666666666667,0.3433333333333333
0.1,12,0.5055166666666666,0.31833333333333336,0.34833333333333333
0.1,13,0.5383,0.2833333333333333,0.34833333333333333
0.1,14,0.5354583333333334,0.30833333333333335,0.37833333333333335
0.1,15,0.539575,0.30333333333333334,0.33166666666666667
0.1,16,0.53775,0.32666666666666666,0.37166666666666665
0.1,17,0.5095611111111111,0.3416666666666667,0.33166666666666667
0.1,18,0.5416416666666667,0.30333333333333334,0.36
