6,1,1780841997574,1780841997881,307,OK
6,2,1780841997900,1780841998213,313,OK
6,3,1780841998229,1780841998589,360,OK
6,4,1780841998615,1780841998942,327,OK
6,5,1780841998951,1780841999284,333,OK
6,6,1780841999299,1780841999628,329,OK
6,7,1780841999642,1780841999924,282,OK
6,8,1780841999941,1780842000264,323,OK
6,9,1780842000287,1780842000601,314,OK
6,10,1780842000617,1780842000973,356,OK
6,11,1780842000985,1780842001319,334,OK
6,12,1780842001345,1780842001504,159,OK
6,13,1780842001510,1780842001689,179,OK
6,14,1780842001708,1780842001905,197,OK
6,15,1780842001937,1780842002130,193,OK
