# start rate=10 seed=1 dur=420 n=7 target=3 events=43
2.2 fp=[1] true=[3] merged=[1, 3]
2.5 fp=[1] true=[3] merged=[1, 3]
2.8 fp=[1] true=[3] merged=[1, 3]
3.1 fp=[1] true=[3] merged=[1, 3]
3.4 fp=[1] true=[3] merged=[1, 3]
3.8 fp=[1] true=[3] merged=[1, 3]
4.1 fp=[1] true=[3] merged=[1, 3]
4.4 fp=[1] true=[3] merged=[1, 3]
4.7 fp=[1] true=[3] merged=[1, 3]
5.0 fp=[1] true=[3] merged=[1, 3]
5.4 fp=[1] true=[3] merged=[1, 3]
5.7 fp=[1] true=[3] merged=[1, 3]
6.0 fp=[1] true=[3] merged=[1, 3]
6.3 fp=[1] true=[3] merged=[1, 3]
6.6 fp=[1] true=[3] merged=[1, 3]
6.9 fp=[1] true=[3] merged=[1, 3]
7.2 fp=[1] true=[3] merged=[1, 3]
7.6 fp=[1] true=[3] merged=[1, 3]
7.9 fp=[1] true=[3] merged=[1, 3]
8.2 fp=[1] true=[3] merged=[1, 3]
8.5 fp=[1] true=[3] merged=[1, 3]
8.8 fp=[1] true=[3] merged=[1, 3]
9.1 fp=[1] true=[3] merged=[1, 3]
9.4 fp=[1] true=[3] merged=[1, 3]
9.7 fp=[1] true=[3] merged=[1, 3]
10.1 fp=[1] true=[3] merged=[1, 3]
10.4 fp=[1] true=[3] merged=[1, 3]
10.7 fp=[1] true=[3] merged=[1, 3]
11.0 fp=[1] true=[3] merged=[1, 3]
11.3 fp=[1] true=[3] merged=[1, 3]
11.6 fp=[1] true=[3] merged=[1, 3]
11.9 fp=[1] true=[3] merged=[1, 3]
12.2 fp=[1] true=[3] merged=[1, 3]
12.5 fp=[1] true=[3] merged=[1, 3]
12.8 fp=[1] true=[3] merged=[1, 3]
13.2 fp=[1] true=[3] merged=[1, 3]
13.5 fp=[1] true=[3] merged=[1, 3]
13.8 fp=[1] true=[3] merged=[1, 3]
14.1 fp=[1] true=[3] merged=[1, 3]
14.4 fp=[1] true=[3] merged=[1, 3]
14.7 fp=[1] true=[3] merged=[1, 3]
15.1 fp=[1] true=[3] merged=[1, 3]
15.4 fp=[1] true=[3] merged=[1, 3]
15.7 fp=[1] true=[3] merged=[1, 3]
16.0 fp=[1] true=[3] merged=[1, 3]
16.3 fp=[1] true=[3] merged=[1, 3]
16.6 fp=[1] true=[3] merged=[1, 3]
16.9 fp=[1] true=[3] merged=[1, 3]
17.2 fp=[1] true=[3] merged=[1, 3]
17.6 fp=[1] true=[3] merged=[1, 3]
17.9 fp=[1] true=[3] merged=[1, 3]
18.2 fp=[1] true=[3] merged=[1, 3]
18.5 fp=[1] true=[3] merged=[1, 3]
18.8 fp=[1] true=[3] merged=[1, 3]
19.1 fp=[1] true=[3] merged=[1, 3]
19.4 fp=[1] true=[3] merged=[1, 3]
19.8 fp=[1] true=[3] merged=[1, 3]
20.1 fp=[1] true=[3] merged=[1, 3]
20.4 fp=[1] true=[3] merged=[1, 3]
20.7 fp=[1] true=[3] merged=[1, 3]
21.0 fp=[1] true=[3] merged=[1, 3]
21.3 fp=[1] true=[3] merged=[1, 3]
21.6 fp=[1] true=[3] merged=[1, 3]
21.9 fp=[1] true=[3] merged=[1, 3]
22.2 fp=[1] true=[3] merged=[1, 3]
22.6 fp=[1] true=[3] merged=[1, 3]
22.9 fp=[1] true=[3] merged=[1, 3]
23.2 fp=[1] true=[3] merged=[1, 3]
23.5 fp=[1] true=[3] merged=[1, 3]
23.8 fp=[1] true=[3] merged=[1, 3]
24.1 fp=[1] true=[3] merged=[1, 3]
24.4 fp=[1] true=[3] merged=[1, 3]
24.7 fp=[1] true=[3] merged=[1, 3]
25.0 fp=[1] true=[3] merged=[1, 3]
25.4 fp=[1] true=[3] merged=[1, 3]
25.7 fp=[1] true=[3] merged=[1, 3]
26.0 fp=[1] true=[3] merged=[1, 3]
26.3 fp=[1] true=[3] merged=[1, 3]
26.6 fp=[1] true=[3] merged=[1, 3]
26.9 fp=[1] true=[3] merged=[1, 3]
27.2 fp=[1] true=[3] merged=[1, 3]
27.5 fp=[1] true=[3] merged=[1, 3]
27.9 fp=[1] true=[3] merged=[1, 3]
28.2 fp=[1] true=[3] merged=[1, 3]
28.5 fp=[1] true=[3] merged=[1, 3]
28.8 fp=[1] true=[3] merged=[1, 3]
29.1 fp=[1] true=[3] merged=[1, 3]
29.4 fp=[1] true=[3] merged=[1, 3]
29.7 fp=[1] true=[3] merged=[1, 3]
30.0 fp=[1] true=[3] merged=[1, 3]
30.3 fp=[1] true=[3] merged=[1, 3]
30.7 fp=[1] true=[3] merged=[1, 3]
31.0 fp=[1] true=[3] merged=[1, 3]
31.3 fp=[1] true=[3] merged=[1, 3]
31.6 fp=[1] true=[3] merged=[1, 3]
31.9 fp=[1] true=[3] merged=[1, 3]
32.2 fp=[1] true=[3] merged=[1, 3]
32.5 fp=[1] true=[3] merged=[1, 3]
32.8 fp=[1] true=[3] merged=[1, 3]
33.1 fp=[1] true=[3] merged=[1, 3]
33.4 fp=[1] true=[3] merged=[1, 3]
33.7 fp=[1] true=[3] merged=[1, 3]
34.1 fp=[1] true=[3] merged=[1, 3]
34.4 fp=[1] true=[3] merged=[1, 3]
34.7 fp=[1] true=[3] merged=[1, 3]
35.0 fp=[1] true=[3] merged=[1, 3]
35.3 fp=[1] true=[3] merged=[1, 3]
35.7 fp=[1] true=[3] merged=[1, 3]
36.0 fp=[1] true=[3] merged=[1, 3]
36.3 fp=[1] true=[3] merged=[1, 3]
36.6 fp=[1] true=[3] merged=[1, 3]
36.9 fp=[1] true=[3] merged=[1, 3]
37.2 fp=[1] true=[3] merged=[1, 3]
37.5 fp=[1] true=[3] merged=[1, 3]
37.8 fp=[1] true=[3] merged=[1, 3]
38.2 fp=[1] true=[3] merged=[1, 3]
38.5 fp=[1] true=[3] merged=[1, 3]
38.8 fp=[1] true=[3] merged=[1, 3]
39.1 fp=[1] true=[3] merged=[1, 3]
39.4 fp=[1] true=[3] merged=[1, 3]
39.7 fp=[1] true=[3] merged=[1, 3]
40.0 fp=[1] true=[3] merged=[1, 3]
40.3 fp=[1] true=[3] merged=[1, 3]
40.6 fp=[1] true=[3] merged=[1, 3]
41.0 fp=[1] true=[3] merged=[1, 3]
41.3 fp=[7] true=[3] merged=[3, 7]
41.6 fp=[7] true=[3] merged=[3, 7]
41.9 fp=[7] true=[3] merged=[3, 7]
42.2 fp=[7] true=[3] merged=[3, 7]
42.5 fp=[7] true=[3] merged=[3, 7]
42.8 fp=[7] true=[3] merged=[3, 7]
43.2 fp=[7] true=[3] merged=[3, 7]
43.5 fp=[7] true=[3] merged=[3, 7]
43.8 fp=[7] true=[3] merged=[3, 7]
44.1 fp=[7] true=[3] merged=[3, 7]
44.4 fp=[7] true=[3] merged=[3, 7]
44.7 fp=[7] true=[3] merged=[3, 7]
45.0 fp=[7] true=[3] merged=[3, 7]
45.3 fp=[7] true=[3] merged=[3, 7]
45.7 fp=[7] true=[3] merged=[3, 7]
46.0 fp=[7] true=[3] merged=[3, 7]
46.3 fp=[7] true=[3] merged=[3, 7]
46.6 fp=[7] true=[3] merged=[3, 7]
46.9 fp=[7] true=[3] merged=[3, 7]
47.2 fp=[7] true=[3] merged=[3, 7]
47.5 fp=[7] true=[3] merged=[3, 7]
47.8 fp=[7] true=[3] merged=[3, 7]
48.2 fp=[7] true=[3] merged=[3, 7]
48.5 fp=[7] true=[3] merged=[3, 7]
48.8 fp=[7] true=[3] merged=[3, 7]
49.1 fp=[7] true=[3] merged=[3, 7]
49.4 fp=[7] true=[3] merged=[3, 7]
49.7 fp=[7] true=[3] merged=[3, 7]
50.0 fp=[7] true=[3] merged=[3, 7]
50.3 fp=[7] true=[3] merged=[3, 7]
50.6 fp=[7] true=[3] merged=[3, 7]
51.0 fp=[7] true=[3] merged=[3, 7]
51.3 fp=[7] true=[3] merged=[3, 7]
51.6 fp=[7] true=[3] merged=[3, 7]
51.9 fp=[7] true=[3] merged=[3, 7]
52.2 fp=[7] true=[3] merged=[3, 7]
