concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,4066,15,0,3.69,265.1,242,407,407,407
2,3257,21,9,6.45,210.0,206,252,254,254
4,3019,30,30,9.94,186.7,207,284,293,293
8,3944,60,60,15.21,249.7,259,273,293,293
16,3603,120,120,33.31,208.3,201,293,311,320
