1781248984.790,7.937,0.289,0.290,0.236,0.243
1781248985.099,0.203,0.282,0.280,0.273,0.233
1781248985.400,0.237,0.304,0.267,0.303,0.321
1781248985.702,0.231,0.396,0.261,0.276,0.292
1781248986.004,0.237,0.328,0.535,0.280,1.210
1781248986.307,0.256,0.336,0.260,0.355,0.915
1781248986.609,0.241,0.450,0.583,0.311,0.318
1781248986.911,0.228,0.303,0.253,0.273,0.297
1781248987.212,0.270,0.283,0.263,0.579,0.266
1781248987.514,0.239,0.329,0.391,0.633,0.283
1781248987.816,0.242,0.375,0.256,0.378,0.250
1781248988.118,0.217,0.426,0.262,0.258,0.232
1781248988.420,0.229,0.311,0.486,0.292,0.665
1781248988.722,0.207,0.294,0.307,0.282,0.340
1781248989.023,0.240,0.332,0.277,0.340,1.535
1781248989.326,0.250,0.327,0.265,0.246,0.245
1781248989.628,0.221,0.359,0.384,0.223,0.582
1781248989.930,0.213,0.294,0.350,0.268,0.221
1781248990.231,0.356,0.324,0.291,0.492,0.582
1781248990.534,0.247,0.283,0.329,0.330,0.283
1781248990.835,0.229,0.314,0.297,0.252,0.344
1781248991.137,0.212,0.421,0.299,0.272,0.303
1781248991.439,0.210,0.409,0.332,0.303,0.362
1781248991.741,0.244,0.357,0.332,0.259,0.238
1781248992.042,0.229,0.367,0.281,0.250,0.254
1781248992.344,0.211,0.280,0.287,0.267,0.218
1781248992.645,0.332,0.376,0.320,0.344,0.288
1781248992.947,0.217,0.360,0.306,0.244,0.346
1781248993.249,0.215,0.390,0.310,0.282,0.499
1781248993.551,0.220,0.280,0.304,0.370,0.902
1781248993.853,0.232,0.384,0.324,0.372,0.344
1781248994.155,0.204,0.324,0.302,0.304,0.249
1781248994.456,0.248,0.299,0.280,0.250,0.258
1781248994.758,0.217,0.355,0.332,0.302,0.341
1781248995.060,0.270,0.259,0.486,0.321,0.272
1781248995.362,0.239,0.312,0.340,0.262,0.276
1781248995.663,0.216,0.318,0.272,0.245,0.334
1781248995.965,0.226,0.278,0.363,0.292,0.257
1781248996.266,0.269,0.341,0.293,0.313,0.239
1781248996.568,0.217,0.361,0.272,0.292,0.311
1781248996.870,0.226,0.304,0.302,0.320,0.263
1781248997.171,0.221,0.349,0.338,0.253,0.249
1781248997.473,0.215,0.411,0.311,0.260,0.272
1781248997.775,0.251,0.309,0.304,0.316,0.305
1781248998.076,0.216,0.315,0.284,0.236,0.368
1781248998.378,0.213,0.314,0.293,0.223,0.347
1781248998.679,0.233,0.354,0.265,0.237,0.249
1781248998.981,0.238,0.448,0.285,0.240,0.249
1781248999.283,0.212,0.356,0.301,0.245,0.235
1781248999.584,0.208,0.303,0.291,0.225,0.299
1781248999.886,0.223,0.294,0.268,0.265,0.247
1781249000.187,0.236,0.472,0.348,0.330,0.265
1781249000.489,0.236,0.287,0.406,0.266,0.244
1781249000.791,0.210,0.375,0.329,0.359,0.255
1781249001.092,0.232,0.305,0.312,0.255,0.251
1781249001.394,0.209,0.286,0.279,0.268,0.294
1781249001.695,0.272,0.370,0.293,0.311,0.238
1781249001.997,0.387,0.385,0.268,0.319,0.296
1781249002.299,0.219,0.287,0.301,0.257,0.243
1781249002.601,0.265,0.281,0.421,0.373,0.273
1781249002.902,0.205,0.353,0.269,0.375,0.252
1781249003.204,0.213,0.321,0.314,0.245,0.498
1781249003.506,0.226,0.324,0.347,0.303,0.279
1781249003.807,0.214,0.317,0.322,0.250,0.260
1781249004.109,0.225,0.380,0.419,0.271,0.278
1781249004.411,0.219,0.357,0.291,0.332,0.266
1781249004.712,0.240,0.329,0.248,0.313,0.260
1781249005.014,0.217,0.303,0.292,0.314,0.339
1781249005.316,0.225,0.368,0.261,0.270,0.709
1781249005.618,0.215,0.314,0.463,0.405,0.236
1781249005.920,0.276,0.332,0.405,0.375,0.582
1781249006.222,0.232,0.399,0.283,0.259,0.257
1781249006.523,0.214,0.282,0.282,0.289,0.283
1781249006.825,0.208,0.435,0.440,0.287,0.267
