concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,5009,20,0
0,3.99,244.4,235,370,370,370
2,4203,20,20,4.76,203.8,205,248,248,248
4,3226,40,40,12.40,147.1,115,263,273,273
8,4840,80,80,16.53,226.2,260,281,293,293
16,5612,160,160,28.51,257.3,227,353,357,364
