seed,arm,elec,t_pause,t_resume,leader_before,leader_after,target_won
2,s2_vanilla,88,1789373541.000538993,1789373562.199528405,5,4,0
2,s2_vanilla,89,1789373577.967727163,1789373599.353512603,4,2,0
2,s2_vanilla,90,1789373615.130081970,1789373636.427496878,2,4,0
2,s2_vanilla,91,1789373652.224602563,1789373673.407982823,4,5,0
2,s2_vanilla,92,1789373689.188577244,1789373710.325436297,5,2,0
2,s2_vanilla,93,1789373726.119173729,1789373747.602700164,2,4,0
2,s2_vanilla,94,1789373763.283737358,1789373784.747909248,4,2,0
2,s2_vanilla,95,1789373800.386181643,1789373821.431522291,2,1,0
2,s2_vanilla,96,1789373836.871849770,1789373858.160515029,1,4,0
2,s2_vanilla,97,1789373873.741086382,1789373894.912723684,4,1,0
2,s2_vanilla,98,1789373910.370244051,1789373931.754934338,1,3,1
2,s2_vanilla,99,1789373947.312946496,1789373973.023226262,3,1,0
2,s2_vanilla,100,1789373988.587412818,1789374009.782548911,1,5,0
