2026-09-14 02:48:24.868,1,3
2026-09-14 04:02:22.365,1,5
2026-09-14 04:03:23.865,1,7
2026-09-14 04:08:07.564,1,16
2026-09-14 04:09:11.364,1,18
2026-09-14 04:10:14.864,1,20
2026-09-14 04:13:29.864,1,26
2026-09-14 04:16:44.364,1,32
2026-09-14 04:17:46.365,1,34
2026-09-14 04:19:53.864,1,38
2026-09-14 04:22:40.364,1,43
2026-09-14 04:27:30.365,1,52
2026-09-14 04:30:49.864,1,58
2026-09-14 04:34:04.864,1,64
2026-09-14 04:35:44.364,1,67
2026-09-14 04:37:23.864,1,70
2026-09-14 04:39:03.864,1,73
2026-09-14 04:40:43.064,1,76
2026-09-14 04:41:50.365,1,78
2026-09-14 04:42:57.864,1,80
2026-09-14 04:44:08.864,1,82
2026-09-14 04:49:47.864,1,92
2026-09-14 04:51:23.865,1,95
2026-09-14 04:55:32.864,1,103
2026-09-14 05:03:56.364,1,113
2026-09-14 05:05:38.864,1,116
2026-09-14 05:07:57.864,1,120
2026-09-14 05:09:07.363,1,122
2026-09-14 05:10:50.364,1,125
2026-09-14 05:12:03.363,1,127
2026-09-14 05:13:14.864,1,129
2026-09-14 05:16:10.864,1,134
2026-09-14 05:19:43.864,1,140
2026-09-14 05:23:17.364,1,146
2026-09-14 05:29:56.865,1,157
2026-09-14 05:31:08.364,1,159
2026-09-14 05:32:21.864,1,161
2026-09-14 05:34:12.364,1,164
2026-09-14 05:37:17.364,1,169
2026-09-14 05:38:33.364,1,171
2026-09-14 05:39:48.364,1,173
2026-09-14 05:42:51.364,1,178
2026-09-14 05:48:45.864,1,188
2026-09-14 05:49:50.864,1,190
2026-09-14 05:56:20.864,1,202
2026-09-14 06:02:58.864,1,206
2026-09-14 06:06:07.863,1,211
2026-09-14 06:08:40.364,1,215
2026-09-14 06:11:13.363,1,219
2026-09-14 06:12:31.864,1,221
2026-09-14 06:13:49.864,1,223
2026-09-14 06:15:09.364,1,225
2026-09-14 06:18:32.864,1,230
2026-09-14 06:22:47.864,1,236
2026-09-14 06:24:08.865,1,238
2026-09-14 06:28:55.864,1,245
2026-09-14 06:30:15.366,1,247
2026-09-14 06:33:40.364,1,252
2026-09-14 06:35:44.865,1,255
2026-09-14 06:37:53.364,1,258
2026-09-14 06:39:59.364,1,261
2026-09-14 06:44:11.364,1,267
2026-09-14 06:45:34.364,1,269
2026-09-14 06:47:39.364,1,272
2026-09-14 06:49:46.364,1,275
2026-09-14 06:53:17.864,1,281
2026-09-14 06:55:39.363,1,285
2026-09-14 07:04:21.865,1,300
2026-09-14 07:09:31.864,1,304
2026-09-14 07:16:30.364,1,314
2026-09-14 07:17:56.364,1,316
2026-09-14 07:19:23.864,1,318
2026-09-14 07:21:36.365,1,321
2026-09-14 07:24:32.865,1,325
2026-09-14 07:29:46.365,1,332
2026-09-14 07:33:34.865,1,337
2026-09-14 07:42:08.865,1,348
