concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6057,15,0,2.48,393.7,386,448,448,448
2,4685,15,15,3.20,303.5,304,325,325,325
4,4584,30,30,6.54,294.7,288,333,335,335
8,4324,60,60,13.88,265.9,314,350,355,355
16,4618,120,120,25.99,267.7,257,339,373,400
