load_tps,seed,median_van,p95_van,p99_van,median_ai,p95_ai,p99_ai,median_bft,p95_bft,p99_bft
100,0,6.615434027247419,11.327728541677839,13.163766062449154,6.2880390130275865,10.472599431886609,14.426673367604284,8.6614709666741,14.847367128377899,19.680415439752824
100,1,6.505678165421797,10.326454174125239,15.756734030704138,5.997808881353163,10.022199510864558,13.540861083990439,8.786712622021462,15.749763623154378,22.287460771972167
100,2,6.379201537484505,10.666451480438674,14.065597072047833,6.003857913365916,9.852777814609981,11.684680381915548,8.501008091784385,13.47668057871598,16.506711286309574
100,3,6.813663553967242,11.69629275800271,13.512168127938178,6.249142432953814,10.21736170955825,12.21705409841865,8.268315992482044,14.095365801366086,19.980665850610524
100,4,6.4505005443315895,12.458330218143733,14.340000426944291,6.014374794890001,9.630333116853409,13.44157555548096,8.84510127296969,14.217754316048106,16.06435792209956
100,5,6.572721738479378,9.929467644095086,12.222181977406645,6.0139550677361955,10.455500389355793,15.158370623744643,8.50291793457043,13.800112540154487,16.265026972239642
100,6,6.366024495786142,9.95107198484485,13.963854308821539,6.373919985316422,9.893801331187243,13.073525430962489,8.648458727054601,13.200679619862692,14.96154612511951
100,7,6.452837185560551,10.916026640704267,15.58016418024317,6.110190579859147,9.76681299071786,14.590875410991348,8.628891276909071,14.501615685167646,17.741360909214798
100,8,6.210228317612939,11.288941921122856,15.44339565917762,6.431380304394194,10.53270484088594,13.337771498397966,8.71298939925175,14.439036670021503,16.61918974633768
100,9,6.447328518874734,11.50505879386188,15.229668901018432,6.085244630173204,10.023793986003481,14.131108998103636,8.649574354374966,13.048458636456088,19.247477341490182
100,10,6.4031437512979945,9.986153789883023,11.584131218597868,6.21155569532049,10.59013164810237,13.060693872859149,8.971230487247762,13.861392398165535,18.246099558608808
100,11,6.28075012774781,11.214393163237942,13.226621800714398,6.251401460430671,11.145109938639838,12.844381388701676,8.35199239238677,14.197305863405708,20.645601032343723
100,12,6.508853914449778,11.117045302057264,15.435937929423092,6.272891822946324,10.776464645853677,14.756091963783241,8.706991546128833,15.245954139561626,20.891755233416525
100,13,6.5094980982471835,11.298206746566219,13.585022846198319,6.013662537541269,10.886435291272983,15.936580427640958,8.812810196751059,14.054734502307861,20.77682530207202
100,14,6.247843282183057,11.019403760282112,13.064308899335359,6.102117084594422,12.049552880496973,16.396168869585107,8.747414974809285,15.363748351252408,17.464858919515752
100,15,6.73793686029884,10.769823904317679,13.49579685042989,6.395990331402274,10.16189343541802,13.102695482759229,8.348716937050082,15.46823774716527,19.82359358664571
100,16,6.178424992092515,11.82756513334323,14.797657707702415,6.217587692937265,11.096684652595012,12.896444176585097,8.551907703606474,15.282558300740398,17.99274788336105
