loss,jitter,seed,failover_van,failover_ai,storm_rate_van,storm_rate_ai
0.0,1.0,0,268.7292022129026,147.7854839804894,0.0,0.0
0.0,1.0,1,261.05736355211775,145.49598840522967,0.0,0.0
0.0,1.0,2,249.6126908200106,150.7513117497431,0.0,0.0
0.0,1.0,3,270.37990569799933,145.82339899564585,0.0,0.0
0.0,1.0,4,263.45828097378933,148.31085070818466,0.0,0.0
0.0,1.0,5,257.309962865682,149.52472718543777,0.0,0.0
0.0,1.0,6,271.03824906548937,150.4864309084058,0.0,0.0
0.0,1.0,7,265.68061435936096,144.14677730296108,0.0,0.0
0.0,1.0,8,260.1669563660513,146.85576542820462,0.0,0.0
0.0,1.0,9,265.16782145510655,146.2152986273766,0.0,0.0
0.0,1.0,10,254.22535626868938,142.90627203200202,0.0,0.0
0.0,1.0,11,257.266740964732,140.79744488079953,0.0,0.0
0.0,1.0,12,263.0363987317929,146.01314956362035,0.0,0.0
0.0,1.0,13,256.8027397839773,145.46572985736458,0.0,0.0
0.0,1.0,14,267.8297461563752,145.80241494068844,0.0,0.0
0.0,1.0,15,265.27397676137855,146.35915126840294,0.0,0.0
0.0,1.0,16,255.71525734666608,146.32243118673662,0.0,0.0
0.0,1.0,17,249.95794200721176,141.43915688092042,0.0,0.0
0.0,1.0,18,277.61868466053176,135.92305203870254,0.0,0.0
0.0,1.0,19,260.3053017714004,148.80688170316148,0.0,0.0
0.0,1.0,20,263.89404781110136,142.51036399414295,0.0,0.0
0.0,1.0,21,270.2913758962645,147.14984450151624,0.0,0.0
0.0,1.0,22,258.2203868352018,144.27903984448784,0.0,0.0
0.0,1.0,23,256.03103397162494,154.08129616102752,0.0,0.0
0.0,1.0,24,261.4576876526852,144.36056634841327,0.0,0.0
0.0,1.0,25,269.0004151078694,152.01233139491467,0.0,0.0
0.0,1.0,26,256.21388325640436,146.5374928234623,0.0,0.0
0.0,1.0,27,260.53400433977856,146.52695225652838,0.0,0.0
0.0,1.0,28,271.20992210058716,149.62748206499495,0.0,0.0
0.0,1.0,29,257.8238173943811,149.4678896970938,0.0,0.0
0.0,5.0,0,268.95905814720976,149.08721884848075,0.0,0.0
0.0,5.0,1,261.68460892228387,145.53423473631162,0.0,0.0
0.0,5.0,2,249.22648628578116,150.90257195809406,0.0,0.0
0.0,5.0,3,272.37589846263853,147.03989336567395,0.0,0.0
0.0,5.0,4,264.23124091692983,148.03727285068928,0.0,0.0
0.0,5.0,5,259.0856592894246,149.37666541688787,0.0,0.0
0.0,5.0,6,271.01509087972045,149.41811829333312,0.0,0.0
0.0,5.0,7,268.9891464171675,143.74046841069048,0.0,0.0
0.0,5.0,8,259.65022221078095,146.8742586867439,0.0,0.0
0.0,5.0,9,266.07971449571863,148.06409425711877,0.0,0.0
0.0,5.0,10,255.39772959822022,140.45385747245052,0.0,0.0
0.0,5.0,11,257.1235411204314,140.74448251428817,0.0,0.0
0.0,5.0,12,264.8833713779254,145.81627729313163,0.0,0.0
0.0,5.0,13,258.2101289137944,145.49451458008934,0.0,0.0
0.0,5.0,14,265.06271720253284,145.0109667130522,0.0,0.0
0.0,5.0,15,263.5207467690425,146.4994805368035,0.0,0.0
0.0,5.0,16,255.15263285301322,146.15370489125382,0.0,0.0
0.0,5.0,17,249.5991344446976,141.3124570011497,0.0,0.0
0.0,5.0,18,274.64581969761286,135.18354355849686,0.0,0.0
0.0,5.0,19,261.34490285959964,147.81821797798838,0.0,0.0
0.0,5.0,20,265.33652039536526,143.9198299381768,0.0,0.0
0.0,5.0,21,269.00876888941,148.04075162398172,0.0,0.0
0.0,5.0,22,256.33036279147325,144.58058468474326,0.0,0.0
