concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,3943,15,0,3.80,255.5,243,322,322,322
2,3307,15,15,4.54,212.2,211,281,281,281
4,3394,30,30,8.84,217.0,212,261,262,262
8,4261,60,60,14.08,269.9,268,305,309,309
16,5329,120,120,22.52,328.7,340,374,400,403
