idx,leader_before,leader_after,target_won,live,ttl_s,advice_on_orderer
1,3,6,0,1,4,n1:{"blacklist":[];"seq":1;"fail_open":false}
2,6,1,0,1,4,n1:{"blacklist":[];"seq":1;"fail_open":false}
3,1,4,0,1,4,n2:{"blacklist":[];"seq":1;"fail_open":false}
4,4,3,1,1,4,n1:{"blacklist":[];"seq":1;"fail_open":false}
5,3,4,0,1,4,n1:{"blacklist":[];"seq":1;"fail_open":false}
