seed,auc_lin,auc_mem
0,0.8887209876543211,0.7208592592592593
1,0.9344246913580248,0.7302567901234568
2,0.9278765432098767,0.7224395061728395
3,0.9023407407407408,0.7243703703703703
4,0.8334024691358024,0.7159703703703704
5,0.8989135802469136,0.7305234567901234
6,0.9108592592592591,0.7132938271604938
7,0.7970271604938272,0.7453037037037037
8,0.9181283950617283,0.7247111111111111
9,0.8735160493827161,0.7255012345679013
10,0.8731555555555556,0.7153481481481482
11,0.7822271604938271,0.7244395061728395
12,0.8484493827160494,0.7385185185185186
13,0.8653382716049383,0.7269135802469135
14,0.8040493827160493,0.706716049382716
15,0.8103456790123457,0.7158123456790123
16,0.8978123456790124,0.7117728395061729
17,0.7784444444444444,0.7201728395061728
18,0.8910074074074075,0.7378814814814815
19,0.7481185185185185,0.7320444444444445
20,0.8916493827160493,0.7258617283950617
21,0.8409827160493827,0.7117975308641975
22,0.890167901234568,0.7247851851851852
23,0.8377234567901235,0.7301086419753087
24,0.8674814814814814,0.7184246913580247
25,0.9043506172839506,0.7190123456790123
26,0.8868493827160495,0.7145234567901234
27,0.8653037037037037,0.7299604938271604
28,0.8680197530864198,0.7403506172839506
29,0.8155851851851852,0.7221629629629629
