concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,5754,15,0,2.61,373.3,384,426,426,426
2,4483,30,0,6.69,287.9,294,329,331,331
4,5130,60,0,11.70,309.9,312,497,506,506
8,4779,120,0,25.11,278.7,317,383,394,405
16,6386,240,0,37.58,388.4,401,488,494,496
