# start rate=10 seed=5 dur=420 n=7 target=3 events=37
4.1 fp=[2] true=[3] merged=[2, 3]
4.4 fp=[2] true=[3] merged=[2, 3]
4.7 fp=[2] true=[3] merged=[2, 3]
5.1 fp=[2] true=[3] merged=[2, 3]
5.4 fp=[2] true=[3] merged=[2, 3]
5.7 fp=[2] true=[3] merged=[2, 3]
6.0 fp=[2] true=[3] merged=[2, 3]
6.3 fp=[2] true=[3] merged=[2, 3]
6.6 fp=[2] true=[3] merged=[2, 3]
6.9 fp=[2] true=[3] merged=[2, 3]
7.3 fp=[2] true=[3] merged=[2, 3]
7.6 fp=[2] true=[3] merged=[2, 3]
7.9 fp=[2] true=[3] merged=[2, 3]
8.2 fp=[2] true=[3] merged=[2, 3]
8.5 fp=[2] true=[3] merged=[2, 3]
8.8 fp=[2] true=[3] merged=[2, 3]
9.1 fp=[2] true=[3] merged=[2, 3]
9.4 fp=[2] true=[3] merged=[2, 3]
9.8 fp=[2] true=[3] merged=[2, 3]
10.1 fp=[2] true=[3] merged=[2, 3]
10.4 fp=[2] true=[3] merged=[2, 3]
10.7 fp=[2] true=[3] merged=[2, 3]
11.0 fp=[2] true=[3] merged=[2, 3]
11.3 fp=[2] true=[3] merged=[2, 3]
11.6 fp=[2] true=[3] merged=[2, 3]
11.9 fp=[2] true=[3] merged=[2, 3]
12.2 fp=[2] true=[3] merged=[2, 3]
12.6 fp=[2] true=[3] merged=[2, 3]
12.9 fp=[2] true=[3] merged=[2, 3]
13.2 fp=[2] true=[3] merged=[2, 3]
13.5 fp=[2] true=[3] merged=[2, 3]
13.8 fp=[2] true=[3] merged=[2, 3]
14.2 fp=[2] true=[3] merged=[2, 3]
14.5 fp=[2] true=[3] merged=[2, 3]
14.8 fp=[2] true=[3] merged=[2, 3]
15.1 fp=[2] true=[3] merged=[2, 3]
15.4 fp=[2] true=[3] merged=[2, 3]
15.7 fp=[2] true=[3] merged=[2, 3]
16.0 fp=[2] true=[3] merged=[2, 3]
16.3 fp=[2] true=[3] merged=[2, 3]
16.7 fp=[2] true=[3] merged=[2, 3]
17.0 fp=[2] true=[3] merged=[2, 3]
17.3 fp=[2] true=[3] merged=[2, 3]
17.6 fp=[2] true=[3] merged=[2, 3]
17.9 fp=[2] true=[3] merged=[2, 3]
18.2 fp=[2] true=[3] merged=[2, 3]
18.5 fp=[2] true=[3] merged=[2, 3]
18.9 fp=[2] true=[3] merged=[2, 3]
19.2 fp=[2] true=[3] merged=[2, 3]
19.5 fp=[2] true=[3] merged=[2, 3]
19.8 fp=[2] true=[3] merged=[2, 3]
20.1 fp=[2] true=[3] merged=[2, 3]
20.4 fp=[2] true=[3] merged=[2, 3]
20.7 fp=[2] true=[3] merged=[2, 3]
21.0 fp=[2] true=[3] merged=[2, 3]
21.4 fp=[2] true=[3] merged=[2, 3]
21.7 fp=[2] true=[3] merged=[2, 3]
22.0 fp=[2] true=[3] merged=[2, 3]
22.3 fp=[2] true=[3] merged=[2, 3]
22.6 fp=[2] true=[3] merged=[2, 3]
22.9 fp=[2] true=[3] merged=[2, 3]
23.3 fp=[2] true=[3] merged=[2, 3]
23.6 fp=[2] true=[3] merged=[2, 3]
23.9 fp=[2] true=[3] merged=[2, 3]
27.3 fp=[2] true=[3] merged=[2, 3]
27.6 fp=[2] true=[3] merged=[2, 3]
27.9 fp=[2] true=[3] merged=[2, 3]
28.2 fp=[2] true=[3] merged=[2, 3]
28.5 fp=[2] true=[3] merged=[2, 3]
28.9 fp=[2] true=[3] merged=[2, 3]
29.2 fp=[2] true=[3] merged=[2, 3]
29.5 fp=[2] true=[3] merged=[2, 3]
29.8 fp=[2] true=[3] merged=[2, 3]
30.1 fp=[2] true=[3] merged=[2, 3]
30.4 fp=[2] true=[3] merged=[2, 3]
30.7 fp=[2] true=[3] merged=[2, 3]
31.0 fp=[2] true=[3] merged=[2, 3]
31.3 fp=[2] true=[3] merged=[2, 3]
31.7 fp=[2] true=[3] merged=[2, 3]
32.0 fp=[2] true=[3] merged=[2, 3]
32.3 fp=[2] true=[3] merged=[2, 3]
32.6 fp=[2] true=[3] merged=[2, 3]
32.9 fp=[2] true=[3] merged=[2, 3]
33.3 fp=[2] true=[3] merged=[2, 3]
33.6 fp=[2] true=[3] merged=[2, 3]
33.9 fp=[2] true=[3] merged=[2, 3]
34.2 fp=[2] true=[3] merged=[2, 3]
34.5 fp=[2] true=[3] merged=[2, 3]
34.9 fp=[2] true=[3] merged=[2, 3]
35.2 fp=[2] true=[3] merged=[2, 3]
35.5 fp=[2] true=[3] merged=[2, 3]
35.8 fp=[2] true=[3] merged=[2, 3]
36.1 fp=[2] true=[3] merged=[2, 3]
36.4 fp=[2] true=[3] merged=[2, 3]
36.7 fp=[2] true=[3] merged=[2, 3]
37.0 fp=[2] true=[3] merged=[2, 3]
37.3 fp=[2] true=[3] merged=[2, 3]
37.7 fp=[2] true=[3] merged=[2, 3]
38.0 fp=[2] true=[3] merged=[2, 3]
38.3 fp=[1] true=[3] merged=[1, 3]
38.6 fp=[1] true=[3] merged=[1, 3]
38.9 fp=[1] true=[3] merged=[1, 3]
39.2 fp=[1] true=[3] merged=[1, 3]
39.5 fp=[1] true=[3] merged=[1, 3]
39.8 fp=[1] true=[3] merged=[1, 3]
40.2 fp=[1] true=[3] merged=[1, 3]
