condition,election,prev_leader,new_leader,target_won,live,advisors_alive
pgd_rho_0.6,27,2,7,0,1,7
pgd_rho_0.6,28,7,6,0,1,7
pgd_rho_0.6,29,6,2,0,1,7
pgd_rho_0.6,30,2,7,0,1,7
pgd_rho_0.6,31,7,6,0,1,7
pgd_rho_0.6,32,6,5,0,1,7
pgd_rho_0.6,33,5,7,0,1,7
pgd_rho_0.6,34,7,2,0,1,7
pgd_rho_0.6,35,2,5,0,1,7
pgd_rho_0.6,36,5,1,0,1,7
pgd_rho_0.6,37,1,6,0,1,7
pgd_rho_0.6,38,6,2,0,1,7
pgd_rho_0.6,39,2,4,0,1,7
pgd_rho_0.6,40,4,7,0,1,7
pgd_rho_0.8,1,7,6,0,1,7
pgd_rho_0.8,2,6,7,0,1,7
pgd_rho_0.8,3,7,1,0,1,7
pgd_rho_0.8,4,1,3,1,1,7
pgd_rho_0.8,5,3,1,0,1,7
pgd_rho_0.8,6,1,2,0,1,7
pgd_rho_0.8,7,2,5,0,1,7
pgd_rho_0.8,8,5,4,0,1,7
pgd_rho_0.8,9,4,7,0,1,7
pgd_rho_0.8,10,7,2,0,1,7
pgd_rho_0.8,11,2,7,0,1,7
pgd_rho_0.8,12,7,2,0,1,7
pgd_rho_0.8,13,2,5,0,1,7
pgd_rho_0.8,14,5,2,0,1,7
pgd_rho_0.8,15,2,7,0,1,7
pgd_rho_0.8,16,7,3,1,1,7
pgd_rho_0.8,17,3,6,0,1,7
pgd_rho_0.8,18,6,7,0,1,7
pgd_rho_0.8,19,7,4,0,1,7
pgd_rho_0.8,20,4,7,0,1,7
pgd_rho_0.8,21,7,2,0,1,7
pgd_rho_0.8,22,2,3,1,1,7
pgd_rho_0.8,23,3,6,0,1,7
pgd_rho_0.8,24,6,2,0,1,7
pgd_rho_0.8,25,2,3,1,1,7
pgd_rho_0.8,26,3,1,0,1,7
pgd_rho_0.8,27,1,3,1,1,7
pgd_rho_0.8,28,3,4,0,1,7
pgd_rho_0.8,29,4,2,0,1,7
pgd_rho_0.8,30,2,5,0,1,7
pgd_rho_0.8,31,5,2,0,1,7
pgd_rho_0.8,32,2,5,0,1,7
pgd_rho_0.8,33,5,4,0,1,7
pgd_rho_0.8,34,4,5,0,1,7
pgd_rho_0.8,35,5,2,0,1,7
pgd_rho_0.8,36,2,7,0,1,7
pgd_rho_0.8,37,7,2,0,1,7
pgd_rho_0.8,38,2,7,0,1,7
pgd_rho_0.8,39,7,1,0,1,7
pgd_rho_0.8,40,1,7,0,1,7
attack_class_ar1,1,7,1,0,1,7
attack_class_ar1,2,1,3,1,1,7
attack_class_ar1,3,3,1,0,1,7
attack_class_ar1,4,1,4,0,1,7
attack_class_ar1,5,4,3,1,1,7
attack_class_ar1,6,3,5,0,1,7
attack_class_ar1,7,5,4,0,1,7
attack_class_ar1,8,4,7,0,1,7
attack_class_ar1,9,7,6,0,1,7
attack_class_ar1,10,6,6,0,1,7
attack_class_ar1,11,7,5,0,1,7
attack_class_ar1,12,5,2,0,1,7
attack_class_ar1,13,2,7,0,1,7
attack_class_ar1,14,7,4,0,1,7
attack_class_ar1,15,4,1,0,1,7
attack_class_ar1,16,1,5,0,1,7
attack_class_ar1,17,5,2,0,1,7
attack_class_ar1,18,2,7,0,1,7
attack_class_ar1,19,7,3,1,1,7
attack_class_ar1,20,3,6,0,1,7
attack_class_ar1,21,6,3,1,1,7
attack_class_ar1,22,3,5,0,1,7
attack_class_ar1,23,5,1,0,1,7
attack_class_ar1,24,1,5,0,1,7
attack_class_ar1,25,5,2,0,1,7
