partition_dur_ms,seed,recovery_van_ms,recovery_ai_ms
100,0,267.8457416403995,33.95313894663664
100,1,253.3255470083434,33.99346067571881
100,2,263.6747813648335,33.762264465451054
100,3,265.29694541101867,34.338534314829566
100,4,271.8451370193327,34.45576052422327
100,5,254.70579958746782,33.47977300348788
100,6,262.1838806237645,34.504582081217436
100,7,265.14631011634606,33.25752304574306
100,8,258.19036622613874,33.82514412898221
100,9,257.74585669697854,35.000697994336846
100,10,252.0040932013469,33.69583735747064
100,11,253.12543668445747,34.69087792804606
100,12,254.36965599993087,34.047599778756
100,13,258.26236392925745,34.31577936259495
100,14,262.82585951986397,34.02424739007399
100,15,257.91016247518644,34.0065305436067
100,16,258.8755872054537,34.054915921601776
100,17,259.6298724516812,33.75831539755461
100,18,262.6964141633546,33.79197149973349
100,19,258.38134423506233,34.27411252659509
100,20,255.19384954024792,33.57376957523444
100,21,266.5863278970836,33.75998480289478
100,22,258.1605698743589,34.69245003734667
100,23,266.9152655075519,33.838799325005624
100,24,259.85328371920394,33.06113912208744
100,25,257.56190502722507,34.02099858653885
100,26,261.30237610849304,34.2904502652154
100,27,272.15518893695275,33.69625993988183
100,28,274.0238320066454,34.218043765466795
100,29,256.03467623841027,34.28031396094969
500,0,267.8457416403995,33.95313894663664
500,1,253.3255470083434,33.99346067571881
500,2,263.6747813648335,33.762264465451054
500,3,265.29694541101867,34.338534314829566
500,4,271.8451370193327,34.45576052422327
500,5,254.70579958746782,33.47977300348788
500,6,262.1838806237645,34.504582081217436
500,7,265.14631011634606,33.25752304574306
500,8,258.19036622613874,33.82514412898221
500,9,257.74585669697854,35.000697994336846
500,10,252.0040932013469,33.69583735747064
500,11,253.12543668445747,34.69087792804606
500,12,254.36965599993087,34.047599778756
500,13,258.26236392925745,34.31577936259495
500,14,262.82585951986397,34.02424739007399
500,15,257.91016247518644,34.0065305436067
500,16,258.8755872054537,34.054915921601776
500,17,259.6298724516812,33.75831539755461
500,18,262.6964141633546,33.79197149973349
500,19,258.38134423506233,34.27411252659509
500,20,255.19384954024792,33.57376957523444
500,21,266.5863278970836,33.75998480289478
500,22,258.1605698743589,34.69245003734667
500,23,266.9152655075519,33.838799325005624
500,24,259.85328371920394,33.06113912208744
500,25,257.56190502722507,34.02099858653885
500,26,261.30237610849304,34.2904502652154
500,27,272.15518893695275,33.69625993988183
500,28,274.0238320066454,34.218043765466795
500,29,256.03467623841027,34.28031396094969
1000,0,267.8457416403995,33.95313894663664
1000,1,253.3255470083434,33.99346067571881
1000,2,263.6747813648335,33.762264465451054
1000,3,265.29694541101867,34.338534314829566
1000,4,271.8451370193327,34.45576052422327
1000,5,254.70579958746782,33.47977300348788
1000,6,262.1838806237645,34.504582081217436
1000,7,265.14631011634606,33.25752304574306
1000,8,258.19036622613874,33.82514412898221
1000,9,257.74585669697854,35.000697994336846
1000,10,252.0040932013469,33.69583735747064
1000,11,253.12543668445747,34.69087792804606
1000,12,254.36965599993087,34.047599778756
1000,13,258.26236392925745,34.31577936259495
1000,14,262.82585951986397,34.02424739007399
1000,15,257.91016247518644,34.0065305436067
1000,16,258.8755872054537,34.054915921601776
1000,17,259.6298724516812,33.75831539755461
1000,18,262.6964141633546,33.79197149973349
1000,19,258.38134423506233,34.27411252659509
1000,20,255.19384954024792,33.57376957523444
1000,21,266.5863278970836,33.75998480289478
1000,22,258.1605698743589,34.69245003734667
1000,23,266.9152655075519,33.838799325005624
1000,24,259.85328371920394,33.06113912208744
1000,25,257.56190502722507,34.02099858653885
1000,26,261.30237610849304,34.2904502652154
1000,27,272.15518893695275,33.69625993988183
1000,28,274.0238320066454,34.218043765466795
1000,29,256.03467623841027,34.28031396094969
2000,0,267.8457416403995,33.95313894663664
2000,1,253.3255470083434,33.99346067571881
2000,2,263.6747813648335,33.762264465451054
2000,3,265.29694541101867,34.338534314829566
2000,4,271.8451370193327,34.45576052422327
2000,5,254.70579958746782,33.47977300348788
2000,6,262.1838806237645,34.504582081217436
2000,7,265.14631011634606,33.25752304574306
2000,8,258.19036622613874,33.82514412898221
2000,9,257.74585669697854,35.000697994336846
2000,10,252.0040932013469,33.69583735747064
2000,11,253.12543668445747,34.69087792804606
2000,12,254.36965599993087,34.047599778756
2000,13,258.26236392925745,34.31577936259495
2000,14,262.82585951986397,34.02424739007399
2000,15,257.91016247518644,34.0065305436067
2000,16,258.8755872054537,34.054915921601776
2000,17,259.6298724516812,33.75831539755461
2000,18,262.6964141633546,33.79197149973349
2000,19,258.38134423506233,34.27411252659509
2000,20,255.19384954024792,33.57376957523444
2000,21,266.5863278970836,33.75998480289478
2000,22,258.1605698743589,34.69245003734667
2000,23,266.9152655075519,33.838799325005624
2000,24,259.85328371920394,33.06113912208744
2000,25,257.56190502722507,34.02099858653885
2000,26,261.30237610849304,34.2904502652154
2000,27,272.15518893695275,33.69625993988183
2000,28,274.0238320066454,34.218043765466795
2000,29,256.03467623841027,34.28031396094969
5000,0,267.8457416403995,33.95313894663664
5000,1,253.3255470083434,33.99346067571881
5000,2,263.6747813648335,33.762264465451054
5000,3,265.29694541101867,34.338534314829566
5000,4,271.8451370193327,34.45576052422327
5000,5,254.70579958746782,33.47977300348788
5000,6,262.1838806237645,34.504582081217436
5000,7,265.14631011634606,33.25752304574306
5000,8,258.19036622613874,33.82514412898221
5000,9,257.74585669697854,35.000697994336846
5000,10,252.0040932013469,33.69583735747064
5000,11,253.12543668445747,34.69087792804606
5000,12,254.36965599993087,34.047599778756
5000,13,258.26236392925745,34.31577936259495
5000,14,262.82585951986397,34.02424739007399
5000,15,257.91016247518644,34.0065305436067
5000,16,258.8755872054537,34.054915921601776
5000,17,259.6298724516812,33.75831539755461
5000,18,262.6964141633546,33.79197149973349
5000,19,258.38134423506233,34.27411252659509
5000,20,255.19384954024792,33.57376957523444
5000,21,266.5863278970836,33.75998480289478
5000,22,258.1605698743589,34.69245003734667
5000,23,266.9152655075519,33.838799325005624
5000,24,259.85328371920394,33.06113912208744
5000,25,257.56190502722507,34.02099858653885
5000,26,261.30237610849304,34.2904502652154
5000,27,272.15518893695275,33.69625993988183
5000,28,274.0238320066454,34.218043765466795
5000,29,256.03467623841027,34.28031396094969
