seed,ece_pre,ece_post,brier_pre,brier_post
0,0.24984373147828887,0.01493254826601796,0.11591253507037515,0.016545331429694263
1,0.24234789256316117,0.018817655357537023,0.11377962170430082,0.020737713685309096
2,0.244721330183318,0.018567912950677487,0.1058346849144565,0.016096500236139937
3,0.24892573878841112,0.014945331374097945,0.11142204029686355,0.014424230748068824
4,0.27757077237982763,0.013048529807128444,0.12259044805281508,0.009808410551487927
5,0.2610920285944064,0.009346397122684685,0.11271334168392126,0.008784094075880156
6,0.24111259502424337,0.017437964212841276,0.10911499800287035,0.01928270899901686
7,0.24573289238310056,0.009348969503914334,0.10602201245682662,0.011440408880266657
8,0.25615975192609464,0.009191352483088985,0.109802742321115,0.009562452096483076
9,0.24962079942637017,0.012509311242481214,0.11141257715985023,0.01279757607025244
10,0.24018053064373282,0.020439859343960743,0.11297125977288895,0.01981351718186196
11,0.2547899274750669,0.011104833918667227,0.11693799606916228,0.01440037467685283
12,0.24289334410409774,0.01966484100736917,0.1203319143180517,0.022478015851150265
13,0.25148063581927477,0.01567242153777448,0.11830329069179528,0.01721810591476362
14,0.26051274341886327,0.009496532922716407,0.122678313934623,0.013275081373619772
15,0.25671536623587987,0.020322747066733746,0.12066589469896118,0.021112011066747996
16,0.25581475529655906,0.01198506768932332,0.11952731617474578,0.019803921322196973
17,0.2560693328944743,0.010848708510493996,0.11101276187574417,0.009046349583835208
18,0.2545386423056503,0.007883399765268133,0.10752718082228843,0.010865430742909082
19,0.25730921335435314,0.008039152758851805,0.11494833278781948,0.008398982067090117
20,0.25675147016610117,0.018715472993001213,0.12444652078844133,0.018869824720988526
21,0.27142799205524626,0.013316138061206313,0.1210420385775248,0.008714632383724543
22,0.24466998641318002,0.010601267367644327,0.11158788871041335,0.015815694091536953
23,0.2711439990020817,0.010147617672351623,0.11657536426935877,0.007327505743517687
24,0.2605583037721933,0.012437208166555897,0.12275507984625864,0.018381501484046027
25,0.24535799378891585,0.013756952967671526,0.10014342649203754,0.007673506433548392
26,0.2679877776704146,0.016988748902453672,0.1178412224300951,0.010536799140604285
27,0.25391067268682804,0.016685975088469657,0.12180282479784575,0.021549960142491782
28,0.25649915412606883,0.008906718099541315,0.11031891535551065,0.01172906778963229
29,0.2627447489861932,0.01683846347816546,0.12215359980834282,0.01742812148870388
