intensity,seed,auc,fp_rate,tp_rate
0.01,0,0.9986472222222222,0.31833333333333336,1.0
0.01,1,0.9986388888888889,0.2916666666666667,1.0
0.01,2,0.9988027777777778,0.29,1.0
0.01,3,0.9975583333333333,0.30333333333333334,1.0
0.01,4,0.9988277777777778,0.31666666666666665,1.0
0.01,5,0.9969805555555555,0.29,1.0
0.01,6,0.9984916666666667,0.28833333333333333,1.0
0.01,7,0.9979916666666666,0.3383333333333333,1.0
0.01,8,0.9985305555555556,0.31166666666666665,1.0
0.01,9,0.997725,0.305,1.0
0.01,10,0.9973444444444444,0.33166666666666667,1.0
0.01,11,0.9965944444444444,0.30666666666666664,1.0
0.01,12,0.9975472222222221,0.30666666666666664,1.0
0.01,13,0.9984833333333333,0.30333333333333334,1.0
0.01,14,0.9984638888888889,0.2816666666666667,1.0
0.01,15,0.9984722222222222,0.2783333333333333,1.0
0.01,16,0.9973722222222222,0.2833333333333333,1.0
0.01,17,0.9987916666666666,0.265,1.0
0.01,18,0.998225,0.2833333333333333,1.0
0.01,19,0.998825,0.29333333333333333,1.0
0.01,20,0.9976611111111111,0.2833333333333333,1.0
0.01,21,0.9978277777777778,0.315,1.0
0.01,22,0.997275,0.31,1.0
0.01,23,0.9939583333333333,0.345,1.0
0.01,24,0.9980611111111111,0.28,1.0
0.01,25,0.9982722222222222,0.2633333333333333,1.0
0.01,26,0.99875,0.31333333333333335,1.0
0.01,27,0.9969083333333333,0.31,1.0
0.01,28,0.9989111111111111,0.32166666666666666,1.0
0.01,29,0.9994972222222223,0.3016666666666667,1.0
0.05,0,0.9986472222222222,0.31833333333333336,1.0
0.05,1,0.9986388888888889,0.2916666666666667,1.0
0.05,2,0.9988027777777778,0.29,1.0
0.05,3,0.9975583333333333,0.30333333333333334,1.0
0.05,4,0.9988277777777778,0.31666666666666665,1.0
0.05,5,0.9969805555555555,0.29,1.0
0.05,6,0.9984916666666667,0.28833333333333333,1.0
0.05,7,0.9979916666666666,0.3383333333333333,1.0
0.05,8,0.9985305555555556,0.31166666666666665,1.0
0.05,9,0.997725,0.305,1.0
0.05,10,0.9973444444444444,0.33166666666666667,1.0
0.05,11,0.9965944444444444,0.30666666666666664,1.0
0.05,12,0.9975472222222221,0.30666666666666664,1.0
0.05,13,0.9984833333333333,0.30333333333333334,1.0
0.05,14,0.9984638888888889,0.2816666666666667,1.0
0.05,15,0.9984722222222222,0.2783333333333333,1.0
0.05,16,0.9973694444444444,0.2833333333333333,1.0
0.05,17,0.9987916666666666,0.265,1.0
0.05,18,0.998225,0.2833333333333333,1.0
0.05,19,0.998825,0.29333333333333333,1.0
0.05,20,0.9976611111111111,0.2833333333333333,1.0
0.05,21,0.9978277777777778,0.315,1.0
0.05,22,0.997275,0.31,1.0
0.05,23,0.9939583333333333,0.345,1.0
0.05,24,0.9980611111111111,0.28,1.0
0.05,25,0.9982722222222222,0.2633333333333333,1.0
0.05,26,0.99875,0.31333333333333335,1.0
0.05,27,0.9969083333333333,0.31,1.0
0.05,28,0.9989111111111111,0.32166666666666666,1.0
0.05,29,0.9994972222222223,0.3016666666666667,1.0
0.1,0,0.9986472222222222,0.31833333333333336,1.0
0.1,1,0.9986388888888889,0.2916666666666667,1.0
0.1,2,0.9988027777777778,0.29,1.0
0.1,3,0.9975583333333333,0.30333333333333334,1.0
0.1,4,0.9988277777777778,0.31666666666666665,1.0
0.1,5,0.9969805555555555,0.29,1.0
0.1,6,0.9984916666666667,0.28833333333333333,1.0
0.1,7,0.9979916666666666,0.3383333333333333,1.0
0.1,8,0.9985305555555556,0.31166666666666665,1.0
0.1,9,0.997725,0.305,1.0
0.1,10,0.9973444444444444,0.33166666666666667,1.0
0.1,11,0.9965944444444444,0.30666666666666664,1.0
0.1,12,0.9975444444444445,0.30666666666666664,1.0
0.1,13,0.9984833333333333,0.30333333333333334,1.0
0.1,14,0.9984638888888889,0.2816666666666667,1.0
0.1,15,0.9984722222222222,0.2783333333333333,1.0
0.1,16,0.9973694444444444,0.2833333333333333,1.0
0.1,17,0.9987916666666666,0.265,1.0
0.1,18,0.998225,0.2833333333333333,1.0
0.1,19,0.998825,0.29333333333333333,1.0
0.1,20,0.9976611111111111,0.2833333333333333,1.0
0.1,21,0.9978277777777778,0.315,1.0
0.1,22,0.997275,0.31,1.0
0.1,23,0.9939583333333333,0.345,1.0
0.1,24,0.9980611111111111,0.28,1.0
0.1,25,0.9982722222222222,0.2633333333333333,1.0
0.1,26,0.99875,0.31333333333333335,1.0
0.1,27,0.9969083333333333,0.31,1.0
0.1,28,0.9989111111111111,0.32166666666666666,1.0
0.1,29,0.9994972222222223,0.3016666666666667,1.0
0.2,0,0.9986472222222222,0.31833333333333336,1.0
0.2,1,0.9986361111111111,0.2916666666666667,1.0
0.2,2,0.9988027777777778,0.29,1.0
0.2,3,0.9975583333333333,0.30333333333333334,1.0
0.2,4,0.9988277777777778,0.31666666666666665,1.0
0.2,5,0.9969805555555555,0.29,1.0
0.2,6,0.9984916666666667,0.28833333333333333,1.0
0.2,7,0.9979916666666666,0.3383333333333333,1.0
0.2,8,0.9985305555555556,0.31166666666666665,1.0
0.2,9,0.997725,0.305,1.0
0.2,10,0.9973444444444444,0.33166666666666667,1.0
0.2,11,0.9965944444444444,0.30666666666666664,1.0
0.2,12,0.9975444444444445,0.30666666666666664,1.0
0.2,13,0.9984833333333333,0.30333333333333334,1.0
0.2,14,0.9984638888888889,0.2816666666666667,1.0
0.2,15,0.9984722222222222,0.2783333333333333,1.0
0.2,16,0.9973694444444444,0.2833333333333333,1.0
0.2,17,0.9987916666666666,0.265,1.0
0.2,18,0.998225,0.2833333333333333,1.0
0.2,19,0.998825,0.29333333333333333,1.0
0.2,20,0.9976611111111111,0.2833333333333333,1.0
0.2,21,0.9978277777777778,0.315,1.0
0.2,22,0.997275,0.31,1.0
0.2,23,0.9939583333333333,0.345,1.0
0.2,24,0.9980611111111111,0.28,1.0
0.2,25,0.9982722222222222,0.2633333333333333,1.0
0.2,26,0.9987472222222222,0.31333333333333335,1.0
0.2,27,0.9969083333333333,0.31,1.0
