coincidence,seed,auc_mean,auc_min
0.0,0,0.9699577618505919,0.9500120276042768
0.0,1,0.9701507156935228,0.9500822737225848
0.0,2,0.9705948039826698,0.9502367674535683
0.0,3,0.9689760646787088,0.9500596033403534
0.0,4,0.9708366027188001,0.9501381578435514
0.0,5,0.9695074959686171,0.9502515250407111
0.0,6,0.9704289430409467,0.9500685575261103
0.0,7,0.9696163474368852,0.9501310696765458
0.0,8,0.9690965727936683,0.9502149353657837
0.0,9,0.9691112870760886,0.9501345234712623
0.0,10,0.9695784423852761,0.9500197884844406
0.0,11,0.9695594489271584,0.9500863111271793
0.0,12,0.9692649220345391,0.9500671896041768
0.0,13,0.9700656808360663,0.9500407894826397
0.0,14,0.9705623195006035,0.9501395643632425
0.0,15,0.9700842999248748,0.9500207928324184
0.0,16,0.9712433939058117,0.9500410233005372
0.0,17,0.969105530746787,0.9506885304155023
0.0,18,0.9702251431493213,0.950124300185464
0.0,19,0.9712431715737995,0.9504299965941371
0.0,20,0.9695239147579946,0.9501988644983766
0.0,21,0.9699108495217382,0.950010580159218
0.0,22,0.968349629121312,0.9503335770432723
0.0,23,0.9701003814489745,0.9502007465446412
0.0,24,0.9696137151171977,0.9501099278662004
0.0,25,0.9698564748179678,0.9503229920382507
0.0,26,0.9698661539985702,0.9501521999359256
0.0,27,0.9705556375477414,0.9501144740638948
0.0,28,0.9715123253763305,0.9500561313318246
0.0,29,0.9698380193362565,0.9500073381344382
0.25,0,0.8883839284019723,0.5508945710448488
0.25,1,0.8926165322833464,0.553721927819733
0.25,2,0.8627548439024586,0.5522372991410109
0.25,3,0.8582683646204342,0.5505335888649977
0.25,4,0.8852419413979906,0.5501726973044393
0.25,5,0.8548861055916575,0.5504106820594231
0.25,6,0.8716356514068316,0.5502586581521267
0.25,7,0.8800090273084462,0.5505897012771254
0.25,8,0.8675915614706852,0.5506516716649605
0.25,9,0.8729095578799879,0.550168154339078
0.25,10,0.8813354359438175,0.550653805268048
0.25,11,0.8786737952698774,0.5502629841616596
0.25,12,0.8914688920009527,0.5503748450488399
0.25,13,0.8765730033825637,0.5501960133837047
0.25,14,0.8771629656001252,0.5514733419410464
0.25,15,0.8793099007921515,0.551988184855633
0.25,16,0.877816016118722,0.5527188395470644
0.25,17,0.8756185040251762,0.5518713273251039
0.25,18,0.8780364543432608,0.5508515339793663
0.25,19,0.867338432452752,0.5518821717817198
0.25,20,0.8495725171808376,0.5503165100143922
0.25,21,0.8554252470027321,0.5517064967792891
0.25,22,0.8696108825205259,0.5512178462190571
0.25,23,0.876571984908642,0.5512228121032234
0.25,24,0.8800618260162998,0.5503006217536069
0.25,25,0.8842968896356407,0.552974253473673
0.25,26,0.8671627937296686,0.550446128161023
0.25,27,0.874333604116808,0.5503254380423559
0.25,28,0.8755180725661569,0.5501169382359162
0.25,29,0.8775982535142501,0.5500091726680478
0.5,0,0.7883364903193469,0.5500150345053462
0.5,1,0.7727311056038284,0.5507991623586117
0.5,2,0.7535165297453875,0.5504902674523282
0.5,3,0.759457852754327,0.5500745041754419
0.5,4,0.7905486064481009,0.5501726973044393
0.5,5,0.7574489907101594,0.5504106820594231
0.5,6,0.7610038841577337,0.5500856969076379
0.5,7,0.7760403245752069,0.5501638370956823
0.5,8,0.7661542043822059,0.5505062727848806
0.5,9,0.7610544640639161,0.550168154339078
0.5,10,0.7708223979503838,0.5505771645840685
0.5,11,0.75092651031899,0.5502629841616596
0.5,12,0.7874589640455117,0.5503748450488399
0.5,13,0.7530915497617394,0.5500509868532997
0.5,14,0.7825342211303317,0.550655325548103
0.5,15,0.767359166480832,0.5502531953276922
0.5,16,0.7883021643435396,0.5500512791256716
0.5,17,0.7743061640209887,0.550930312119409
0.5,18,0.7885810838692617,0.5501553752318302
0.5,19,0.7646660179234472,0.5506746390210826
0.5,20,0.7560722777736502,0.5503165100143922
0.5,21,0.7566732479850006,0.5500132251990226
0.5,22,0.7878739014084832,0.5504977521371374
0.5,23,0.7805703340765572,0.5512228121032234
0.5,24,0.779981050002255,0.5501374098327506
0.5,25,0.798731675730987,0.5504037400478135
0.5,26,0.7763294906337875,0.550276541097342
0.5,27,0.7756306752369974,0.5503254380423559
0.5,28,0.7924810354105589,0.5501169382359162
0.5,29,0.7722582438675475,0.5500091726680478
0.75,0,0.6910013242354446,0.5500150345053462
0.75,1,0.6753071671523098,0.5507991623586117
0.75,2,0.6678611074617765,0.5502959593169605
0.75,3,0.6527639362117085,0.5500745041754419
0.75,4,0.686542872855916,0.5501726973044393
0.75,5,0.6547647708098852,0.5504106820594231
0.75,6,0.6636058590666228,0.5500856969076379
0.75,7,0.6746450209946727,0.5501638370956823
0.75,8,0.6529172066880885,0.5502686692072298
0.75,9,0.6701403605988335,0.550168154339078
0.75,10,0.6877844573607667,0.5500247356055509
0.75,11,0.656126266397172,0.5501078889089742
0.75,12,0.6966472514614883,0.5500839870052211
0.75,13,0.6409916032791602,0.5500509868532997
0.75,14,0.6758016477792798,0.5502898926628315
0.75,15,0.6673318472235183,0.5502531953276922
0.75,16,0.6711853280259926,0.5500512791256716
0.75,17,0.6728465957949944,0.550930312119409
0.75,18,0.6818786719961162,0.5501553752318302
0.75,19,0.6778373728528305,0.5505374957426715
0.75,20,0.6585927261588749,0.5503165100143922
0.75,21,0.6671204926673172,0.5500132251990226
0.75,22,0.670608800196537,0.5504169713040905
0.75,23,0.6646826983234496,0.5504543801544975
0.75,24,0.6719025907711296,0.5501374098327506
0.75,25,0.6932704517130381,0.5504037400478135
0.75,26,0.6814747523779805,0.5501902499199071
0.75,27,0.6691850001142104,0.5503254380423559
0.75,28,0.6965924298208626,0.5501169382359162
0.75,29,0.6643627733575183,0.5500091726680478
1.0,0,0.5749472023132399,0.5500150345053462
1.0,1,0.5751883946169035,0.550102842153231
1.0,2,0.5757435049783374,0.5502959593169605
1.0,3,0.5737200808483861,0.5500745041754419
1.0,4,0.5760457533985004,0.5501726973044393
1.0,5,0.5743843699607712,0.550314406300889
1.0,6,0.5755361788011835,0.5500856969076379
1.0,7,0.5745204342961067,0.5501638370956823
1.0,8,0.5738707159920856,0.5502686692072298
1.0,9,0.573889108845111,0.550168154339078
1.0,10,0.5744730529815953,0.5500247356055509
1.0,11,0.574449311158948,0.5501078889089742
1.0,12,0.5740811525431739,0.5500839870052211
1.0,13,0.575082101045083,0.5500509868532997
1.0,14,0.5757028993757543,0.5501744554540533
1.0,15,0.5751053749060934,0.550025991040523
1.0,16,0.5765542423822647,0.5500512791256716
1.0,17,0.5738819134334839,0.5508606630193779
1.0,18,0.5752814289366517,0.5501553752318302
1.0,19,0.5765539644672494,0.5505374957426715
1.0,20,0.5744048934474932,0.5502485806229709
1.0,21,0.5748885619021729,0.5500132251990226
1.0,22,0.5729370364016401,0.5504169713040905
1.0,23,0.5751254768112182,0.5502509331808015
1.0,24,0.5745171438964973,0.5501374098327506
1.0,25,0.5748205935224598,0.5504037400478135
1.0,26,0.5748326924982127,0.5501902499199071
1.0,27,0.5756945469346767,0.5501430925798686
1.0,28,0.5768904067204131,0.5500701641647809
1.0,29,0.5747975241703206,0.5500091726680478
