concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,9429,30,0
0,3.18,307.2,296,393,411,411
2,7811,30,30,3.84,252.7,250,318,323,323
4,5314,60,60,11.29,165.1,137,282,298,298
8,7485,120,120,16.03,231.7,271,335,404,404
16,7729,240,240,31.05,231.9,210,356,456,474
