concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,4075,15,0,3.68,263.3,258,310,310,310
2,3195,15,15,4.69,206.5,205,247,247,247
4,3490,30,30,8.60,223.9,222,253,263,263
8,3642,60,60,16.47,204.3,219,294,298,298
16,6559,128,112,19.52,463.3,315,2240,2253,2254
