idx,leader_before,leader_after,fp_node,fp_node_won,live,time_to_leader_s,fp_delivered,advice_seen_on
1,3,7,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
2,7,5,7,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
3,5,6,5,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
4,6,4,6,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
5,4,2,4,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
6,2,4,2,0,1,2,0,n3:{"blacklist":[];"seq":1;"fail_open":false}
7,4,7,4,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
8,7,4,4,1,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
9,4,7,4,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
10,7,2,4,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
