concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,3820,15,0,3.93,248.7,244,300,300,300
2,3458,16,14,4.63,222.6,225,263,263,263
4,2896,30,30,10.36,184.6,192,323,330,330
8,2562,60,60,23.42,151.8,136,264,272,272
16,5292,168,72,31.75,301.1,270,582,757,776
