concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,4068,15,0,3.69,263.5,264,361,361,361
2,3333,15,15,4.50,214.9,196,346,346,346
4,3386,30,30,8.86,208.7,216,368,376,376
8,3657,60,60,16.41,226.2,257,301,305,305
16,4260,120,120,28.17,247.4,208,376,393,394
