idx,leader_before,leader_after,fp_node,fp_node_won,live,time_to_leader_s,fp_delivered,advice_seen_on
1,3,5,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
2,5,4,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
3,4,7,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
4,7,3,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
5,3,7,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
6,7,3,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
7,3,2,-,0,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
8,2,4,-,0,1,2,0,n3:{"blacklist":[];"seq":1;"fail_open":false}
9,4,5,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
10,5,6,-,0,1,2,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
