idx,leader_before,leader_after,fp_node,fp_node_won,live,time_to_leader_s,fp_delivered,advice_seen_on
1,7,4,7,0,1,4,1,n2:{"blacklist":[3;7];"seq":1;"fail_open":false}
2,4,5,4,0,1,2,1,n2:{"blacklist":[3;4];"seq":1;"fail_open":false}
3,5,2,5,0,1,4,1,n2:{"blacklist":[3;5];"seq":1;"fail_open":false}
4,2,0,5,0,0,-1,1,n3:{"blacklist":[3;5];"seq":1;"fail_open":false}
