concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,5072,9,6,1.77,320.9,313,350,350,350
2,4036,20,10,4.96,257.1,258,279,279,279
4,4212,32,28,7.60,245.6,276,312,325,325
8,4439,120,0,27.03,282.9,309,331,332,334
16,13433,84,156,6.25,1983.7,2326,3697,3708,3708
