arm,N,m,chance_pct,seed,target_wins,elec,live,w0,wp,w1,w1_wins
A_vanilla,11,2,20.0,1,0,10,10,1,0,9,0
B_oracle,11,2,20.0,1,0,10,10,0,0,10,0
C_predictor,11,2,20.0,1,0,10,10,0,0,10,0
A_vanilla,11,2,20.0,2,0,10,10,0,0,10,0
B_oracle,11,2,20.0,2,0,10,10,0,0,10,0
C_predictor,11,2,20.0,2,0,10,10,0,0,10,0
A_vanilla,11,2,20.0,3,2,10,10,0,0,10,2
B_oracle,11,2,20.0,3,0,10,10,0,0,10,0
C_predictor,11,2,20.0,3,0,10,9,0,0,10,0
A_vanilla,11,2,20.0,4,2,10,10,0,0,10,2
B_oracle,11,2,20.0,4,0,10,9,0,0,10,0
C_predictor,11,2,20.0,4,0,10,10,0,0,10,0
