arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,11,5,2,3;9,2,6,1786284133.280485971,1786284146.842557596,W1,2,2,9;3,0,4,2,2,3;9,0,4,10,0,1,0,1
A_vanilla,11,5,2,3;9,2,7,1786284146.861968967,1786284160.482845074,W1,2,2,9;3,0,4,2,2,3;9,0,4,1,0,4,0,1
A_vanilla,11,5,2,3;9,2,8,1786284160.500873447,1786284174.180276566,W1,2,2,9;3,0,4,2,2,3;9,0,4,4,0,7,0,1
A_vanilla,11,5,2,3;9,2,9,1786284174.192743855,1786284187.761871752,W1,2,2,3;9,0,4,2,2,9;3,0,4,7,0,10,0,1
A_vanilla,11,5,2,3;9,2,10,1786284187.775403914,1786284201.380621158,W1,2,2,9;3,0,4,2,2,9;3,0,4,10,0,5,0,1
B_oracle,11,5,2,3;9,2,1,1786284208.889214032,1786284222.475981152,W1,2,2,3;9,0,4,2,2,3;9,0,4,5,0,2,0,1
B_oracle,11,5,2,3;9,2,2,1786284222.492471017,1786284236.062533962,W1,2,2,9;3,0,4,2,2,3;9,0,4,2,0,1,0,1
B_oracle,11,5,2,3;9,2,3,1786284236.072883253,1786284249.663689693,W1,2,2,9;3,0,4,2,2,9;3,0,4,1,0,11,0,1
B_oracle,11,5,2,3;9,2,4,1786284249.672291845,1786284263.223980191,W1,2,2,9;3,0,4,2,2,9;3,0,4,11,0,7,0,1
B_oracle,11,5,2,3;9,2,5,1786284263.235178259,1786284276.848597314,W1,2,2,9;3,0,4,2,2,9;3,0,4,7,0,1,0,1
B_oracle,11,5,2,3;9,2,6,1786284276.860359256,1786284290.431642525,W1,2,2,3;9,0,4,2,2,3;9,0,4,1,0,5,0,1
B_oracle,11,5,2,3;9,2,7,1786284290.446419312,1786284304.024916428,W1,2,2,9;3,0,4,2,2,3;9,0,4,5,0,7,0,1
B_oracle,11,5,2,3;9,2,8,1786284304.041266208,1786284317.647794198,W1,2,2,9;3,0,4,2,2,9;3,0,4,7,0,11,0,1
B_oracle,11,5,2,3;9,2,9,1786284317.694750447,1786284331.250481921,W1,2,2,3;9,0,4,2,2,9;3,0,4,11,0,2,0,1
B_oracle,11,5,2,3;9,2,10,1786284331.263861706,1786284344.863142471,W1,2,2,3;9,0,4,2,2,9;3,0,4,2,0,1,0,1
C_predictor,11,5,2,3;9,2,1,1786284351.799846827,1786284365.469423221,W1,2,2,9;3,0,4,2,2,3;9,0,4,1,0,10,0,1
C_predictor,11,5,2,3;9,2,2,1786284365.482636517,1786284379.213304540,W1,2,2,9;3,0,4,2,2,3;9,0,4,10,0,8,0,1
C_predictor,11,5,2,3;9,2,3,1786284379.225578324,1786284392.871914043,W1,2,2,3;9,0,4,2,2,9;3,0,4,8,0,2,0,1
C_predictor,11,5,2,3;9,2,4,1786284392.883975899,1786284406.495079844,W1,2,2,9;3,0,4,2,2,9;3,0,4,2,0,5,0,1
C_predictor,11,5,2,3;9,2,5,1786284406.517011579,1786284420.144380656,W1,2,2,9;3,0,4,2,2,9;3,0,4,5,0,7,0,1
C_predictor,11,5,2,3;9,2,6,1786284420.147893135,1786284433.765709690,W1,2,2,3;9,0,4,2,2,9;3,0,4,7,0,8,0,1
C_predictor,11,5,2,3;9,2,7,1786284433.772973680,1786284447.390749633,W1,2,2,9;3,0,4,2,2,3;9,0,4,8,0,6,0,1
C_predictor,11,5,2,3;9,2,8,1786284447.398283371,1786284461.015327921,W1,2,2,9;3,0,4,2,2,3;9,0,4,6,0,11,0,1
C_predictor,11,5,2,3;9,2,9,1786284461.022984372,1786284474.715236467,W1,2,2,9;3,0,4,2,2,9;3,0,4,11,0,8,0,1
C_predictor,11,5,2,3;9,2,10,1786284474.718893175,1786284488.316288352,W1,2,2,9;3,0,4,2,2,9;3,0,4,8,0,2,0,1
A_vanilla,11,5,2,3;9,3,1,1786284497.450752606,1786284511.058728088,W1,2,2,9;3,0,4,2,2,3;9,0,4,2,0,8,0,1
A_vanilla,11,5,2,3;9,3,2,1786284511.070774516,1786284524.639916715,W1,2,2,9;3,0,4,2,2,9;3,0,4,8,0,2,0,1
A_vanilla,11,5,2,3;9,3,3,1786284524.655124645,1786284538.262463500,W1,2,2,9;3,0,4,2,2,3;9,0,4,2,0,3,1,1
A_vanilla,11,5,2,3;9,3,4,1786284538.269471737,1786284551.852674536,W1,2,2,3;9,0,4,2,2,9;3,0,4,3,1,8,0,1
A_vanilla,11,5,2,3;9,3,5,1786284551.858613572,1786284565.456530164,W1,2,2,3;9,0,4,2,2,9;3,0,4,8,0,7,0,1
A_vanilla,11,5,2,3;9,3,6,1786284565.470834458,1786284579.074154638,W1,2,2,9;3,0,4,2,2,3;9,0,4,7,0,10,0,1
A_vanilla,11,5,2,3;9,3,7,1786284579.089915205,1786284592.652710289,W1,2,2,3;9,0,4,2,2,9;3,0,4,10,0,2,0,1
A_vanilla,11,5,2,3;9,3,8,1786284592.671258565,1786284606.276752218,W1,2,2,9;3,0,4,2,2,3;9,0,4,2,0,4,0,1
