concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6963,15,0,2.15,452.1,455,489,489,489
2,5025,15,15,2.99,325.1,325,369,369,369
4,4919,30,30,6.10,315.8,315,356,359,359
8,4803,60,60,12.49,296.1,326,387,401,401
16,4790,120,120,25.05,280.7,253,433,449,452
