# start rate=10 seed=6 dur=420 n=7 target=3 events=41
63.5 fp=[7] true=[3] merged=[3, 7]
63.8 fp=[7] true=[3] merged=[3, 7]
64.1 fp=[7] true=[3] merged=[3, 7]
64.4 fp=[7] true=[3] merged=[3, 7]
64.7 fp=[7] true=[3] merged=[3, 7]
65.0 fp=[7] true=[3] merged=[3, 7]
65.3 fp=[7] true=[3] merged=[3, 7]
65.6 fp=[7] true=[3] merged=[3, 7]
66.0 fp=[7] true=[3] merged=[3, 7]
66.3 fp=[7] true=[3] merged=[3, 7]
66.6 fp=[7] true=[3] merged=[3, 7]
66.9 fp=[7] true=[3] merged=[3, 7]
67.2 fp=[7] true=[3] merged=[3, 7]
67.5 fp=[7] true=[3] merged=[3, 7]
67.8 fp=[7] true=[3] merged=[3, 7]
68.2 fp=[7] true=[3] merged=[3, 7]
68.5 fp=[7] true=[3] merged=[3, 7]
68.8 fp=[7] true=[3] merged=[3, 7]
69.1 fp=[7] true=[3] merged=[3, 7]
69.4 fp=[7] true=[3] merged=[3, 7]
69.7 fp=[7] true=[3] merged=[3, 7]
70.0 fp=[7] true=[3] merged=[3, 7]
70.3 fp=[7] true=[3] merged=[3, 7]
70.7 fp=[7] true=[3] merged=[3, 7]
71.0 fp=[7] true=[3] merged=[3, 7]
71.3 fp=[7] true=[3] merged=[3, 7]
71.6 fp=[7] true=[3] merged=[3, 7]
71.9 fp=[7] true=[3] merged=[3, 7]
72.2 fp=[7] true=[3] merged=[3, 7]
72.5 fp=[7] true=[3] merged=[3, 7]
72.8 fp=[7] true=[3] merged=[3, 7]
73.1 fp=[7] true=[3] merged=[3, 7]
73.4 fp=[7] true=[3] merged=[3, 7]
73.8 fp=[7] true=[3] merged=[3, 7]
74.1 fp=[7] true=[3] merged=[3, 7]
74.4 fp=[7] true=[3] merged=[3, 7]
74.7 fp=[7] true=[3] merged=[3, 7]
75.0 fp=[7] true=[3] merged=[3, 7]
75.3 fp=[7] true=[3] merged=[3, 7]
75.7 fp=[7] true=[3] merged=[3, 7]
76.0 fp=[7] true=[3] merged=[3, 7]
76.3 fp=[7] true=[3] merged=[3, 7]
76.6 fp=[7] true=[3] merged=[3, 7]
76.9 fp=[7] true=[3] merged=[3, 7]
77.2 fp=[7] true=[3] merged=[3, 7]
77.5 fp=[7] true=[3] merged=[3, 7]
77.8 fp=[7] true=[3] merged=[3, 7]
78.2 fp=[7] true=[3] merged=[3, 7]
78.5 fp=[7] true=[3] merged=[3, 7]
78.8 fp=[7] true=[3] merged=[3, 7]
79.1 fp=[7] true=[3] merged=[3, 7]
79.4 fp=[7] true=[3] merged=[3, 7]
79.7 fp=[7] true=[3] merged=[3, 7]
80.0 fp=[7] true=[3] merged=[3, 7]
80.3 fp=[7] true=[3] merged=[3, 7]
80.6 fp=[7] true=[3] merged=[3, 7]
80.9 fp=[7] true=[3] merged=[3, 7]
81.3 fp=[7] true=[3] merged=[3, 7]
81.6 fp=[7] true=[3] merged=[3, 7]
81.9 fp=[7] true=[3] merged=[3, 7]
82.2 fp=[7] true=[3] merged=[3, 7]
82.5 fp=[7] true=[3] merged=[3, 7]
82.8 fp=[7] true=[3] merged=[3, 7]
103.1 fp=[4] true=[3] merged=[3, 4]
103.4 fp=[4] true=[3] merged=[3, 4]
103.8 fp=[4] true=[3] merged=[3, 4]
104.1 fp=[4] true=[3] merged=[3, 4]
104.4 fp=[4] true=[3] merged=[3, 4]
104.7 fp=[4] true=[3] merged=[3, 4]
105.0 fp=[4] true=[3] merged=[3, 4]
105.3 fp=[4] true=[3] merged=[3, 4]
105.6 fp=[4] true=[3] merged=[3, 4]
105.9 fp=[4] true=[3] merged=[3, 4]
106.3 fp=[4] true=[3] merged=[3, 4]
106.6 fp=[4] true=[3] merged=[3, 4]
106.9 fp=[4] true=[3] merged=[3, 4]
107.2 fp=[4] true=[3] merged=[3, 4]
107.5 fp=[4] true=[3] merged=[3, 4]
107.8 fp=[4] true=[3] merged=[3, 4]
108.1 fp=[4] true=[3] merged=[3, 4]
108.4 fp=[4] true=[3] merged=[3, 4]
108.8 fp=[4] true=[3] merged=[3, 4]
109.1 fp=[4] true=[3] merged=[3, 4]
109.4 fp=[4] true=[3] merged=[3, 4]
109.7 fp=[4] true=[3] merged=[3, 4]
110.0 fp=[4] true=[3] merged=[3, 4]
110.3 fp=[4] true=[3] merged=[3, 4]
110.6 fp=[4] true=[3] merged=[3, 4]
110.9 fp=[4] true=[3] merged=[3, 4]
111.2 fp=[1] true=[3] merged=[1, 3]
111.5 fp=[1] true=[3] merged=[1, 3]
111.9 fp=[1] true=[3] merged=[1, 3]
112.2 fp=[1] true=[3] merged=[1, 3]
