idx,leader_before,leader_after,fp_node,live,time_to_leader_s,fp_delivered,advice_seen_on
1,5,3,5,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
2,3,5,-,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
3,5,6,5,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
4,6,3,6,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
5,3,2,-,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
6,2,3,2,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
7,3,2,-,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
8,2,3,2,1,4,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
9,3,1,2,1,6,0,n1:{"blacklist":[];"seq":1;"fail_open":false}
10,1,3,2,1,4,0,n2:{"blacklist":[];"seq":1;"fail_open":false}
