concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,7690,15,0,1.95,500.4,500,569,569,569
2,5589,30,0,5.37,362.0,373,409,410,410
4,5875,60,0,10.21,377.9,373,444,447,447
8,4312,120,0,27.83,255.4,232,432,452,473
16,5917,240,0,40.56,341.4,328,522,624,641
