concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6500,15,0,2.31,422.3,417,488,488,488
2,4989,15,15,3.01,323.4,325,346,346,346
4,3855,30,30,7.78,234.6,285,363,364,364
8,5435,60,60,11.04,339.3,350,380,389,389
16,5623,120,120,21.34,334.5,316,477,490,496
