concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,4072,15,0,3.68,265.4,251,416,416,416
2,3023,15,15,4.96,195.1,187,269,269,269
4,3529,30,30,8.50,226.1,225,253,256,256
8,4049,60,60,14.82,256.4,262,292,299,299
16,4150,120,120,28.92,239.1,232,323,347,347
