concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,5988,15,0,2.51,389.1,383,480,480,480
2,4540,15,15,3.30,294.5,293,336,336,336
4,3252,30,30,9.23,205.2,161,341,345,345
8,5372,60,60,11.17,338.1,340,367,372,372
16,4764,120,120,25.19,279.7,268,421,446,446
