condition,election,prev_leader,new_leader,target_won,live,advisors_alive
pgd_rho_0.6,27,6,7,0,1,7
pgd_rho_0.6,28,7,6,0,1,7
pgd_rho_0.6,29,6,4,0,1,7
pgd_rho_0.6,30,4,6,0,1,7
pgd_rho_0.6,31,6,5,0,1,7
pgd_rho_0.6,32,5,2,0,1,7
pgd_rho_0.6,33,2,6,0,1,7
pgd_rho_0.6,34,6,7,0,1,7
pgd_rho_0.6,35,7,5,0,1,7
pgd_rho_0.6,36,5,6,0,1,7
pgd_rho_0.6,37,6,4,0,1,7
pgd_rho_0.6,38,4,1,0,1,7
pgd_rho_0.6,39,1,7,0,1,7
pgd_rho_0.6,40,7,5,0,1,7
pgd_rho_0.8,1,5,1,0,1,7
pgd_rho_0.8,2,1,7,0,1,7
pgd_rho_0.8,3,7,4,0,1,7
pgd_rho_0.8,4,4,5,0,1,7
pgd_rho_0.8,5,5,2,0,1,7
pgd_rho_0.8,6,2,5,0,1,7
pgd_rho_0.8,7,5,2,0,1,7
pgd_rho_0.8,8,2,1,0,1,7
pgd_rho_0.8,9,1,2,0,1,7
pgd_rho_0.8,10,2,4,0,1,7
pgd_rho_0.8,11,4,1,0,1,7
pgd_rho_0.8,12,1,2,0,1,7
pgd_rho_0.8,13,2,5,0,1,7
pgd_rho_0.8,14,5,1,0,1,7
pgd_rho_0.8,15,1,2,0,1,7
pgd_rho_0.8,16,2,6,0,1,7
pgd_rho_0.8,17,6,1,0,1,7
pgd_rho_0.8,18,1,7,0,1,7
pgd_rho_0.8,19,7,1,0,1,7
pgd_rho_0.8,20,1,5,0,1,7
pgd_rho_0.8,21,5,6,0,1,7
pgd_rho_0.8,22,6,7,0,1,7
pgd_rho_0.8,23,7,5,0,1,7
pgd_rho_0.8,24,5,7,0,1,7
pgd_rho_0.8,25,7,5,0,1,7
pgd_rho_0.8,26,5,2,0,1,7
pgd_rho_0.8,27,2,5,0,1,7
pgd_rho_0.8,28,5,7,0,1,7
pgd_rho_0.8,29,7,4,0,1,7
pgd_rho_0.8,30,4,7,0,1,7
pgd_rho_0.8,31,7,4,0,1,7
pgd_rho_0.8,32,4,7,0,1,7
pgd_rho_0.8,33,7,1,0,1,7
pgd_rho_0.8,34,1,1,0,1,7
pgd_rho_0.8,35,4,5,0,1,7
pgd_rho_0.8,36,5,7,0,1,7
pgd_rho_0.8,37,7,4,0,1,7
pgd_rho_0.8,38,4,2,0,1,7
pgd_rho_0.8,39,2,6,0,1,7
