condition,wins,n,liveness,advisor_ok,h0,h1,blocks,seconds,blocks_per_s
healthy_white,0,40,36,40,,,0,1029,0.0000
pgd_rho_0.0,0,40,39,40,,,0,1040,0.0000
pgd_rho_0.3,0,40,40,40,,,0,1046,0.0000
pgd_rho_0.6,0,40,39,40,,,0,1054,0.0000
pgd_rho_0.8,0,40,39,40,,,0,1048,0.0000
attack_class_ar1,0,40,40,40,,,0,1028,0.0000
