concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,5754,15,0,2.61,375.9,372,473,473,473
2,3909,30,0,7.67,253.4,244,409,412,412
4,3773,60,0,15.90,237.1,269,339,346,346
8,5143,120,0,23.33,327.2,318,507,509,513
16,4681,240,0,51.27,280.7,237,449,458,462
