concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6130,15,0,2.45,398.0,394,457,457,457
2,4597,15,15,3.26,298.5,291,328,328,328
4,4252,30,30,7.06,271.6,299,328,338,338
8,5316,60,60,11.29,335.4,333,377,382,382
16,4950,120,120,24.24,280.5,244,447,474,498
