idx,leader_before,leader_after,fp_node,live,time_to_leader_s,fp_delivered,advice_seen_on
1,7,2,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
2,2,5,-,1,2,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
3,5,4,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
4,4,5,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
5,1,2,2,1,2,1,n2:{"blacklist":[2;3];"seq":1;"fail_open":false}
6,-,-,-,-,-,-,noleader
7,-,-,-,-,-,-,noleader
8,2,1,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
9,1,5,-,1,4,0,n2:{"blacklist":[3];"seq":1;"fail_open":false}
10,5,1,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
