1789637486,{"blacklist":[];"seq":1;"fail_open":false}
1789637593,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637594,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637595,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637596,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637597,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637598,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637599,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637600,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637601,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637602,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637603,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637604,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637606,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637607,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637608,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637609,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637610,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637611,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637612,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637613,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637614,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637615,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637616,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637617,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637618,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637619,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637621,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637622,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637623,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637624,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637625,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637626,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637627,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637628,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637629,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637630,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637631,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637632,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637633,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637635,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637636,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637637,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637638,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637639,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637640,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637641,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637642,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637643,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637644,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637645,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637646,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637647,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637648,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637650,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637651,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637652,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637653,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637654,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637655,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637656,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637657,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637658,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637659,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637660,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637661,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637662,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637663,{"blacklist":[3;4];"seq":1;"fail_open":false}
