# start rate=20 seed=3 dur=420 n=7 target=3 events=90
7.2 fp=[4] true=[3] merged=[3, 4]
7.5 fp=[4] true=[3] merged=[3, 4]
7.8 fp=[4] true=[3] merged=[3, 4]
8.2 fp=[4] true=[3] merged=[3, 4]
8.5 fp=[4] true=[3] merged=[3, 4]
8.8 fp=[4] true=[3] merged=[3, 4]
9.1 fp=[4] true=[3] merged=[3, 4]
9.4 fp=[4] true=[3] merged=[3, 4]
9.7 fp=[4] true=[3] merged=[3, 4]
10.0 fp=[4] true=[3] merged=[3, 4]
10.3 fp=[4] true=[3] merged=[3, 4]
10.7 fp=[4] true=[3] merged=[3, 4]
11.0 fp=[4] true=[3] merged=[3, 4]
11.3 fp=[4] true=[3] merged=[3, 4]
11.6 fp=[4] true=[3] merged=[3, 4]
11.9 fp=[4] true=[3] merged=[3, 4]
12.2 fp=[4] true=[3] merged=[3, 4]
12.5 fp=[4] true=[3] merged=[3, 4]
12.8 fp=[4] true=[3] merged=[3, 4]
13.1 fp=[4] true=[3] merged=[3, 4]
13.5 fp=[4] true=[3] merged=[3, 4]
13.8 fp=[4] true=[3] merged=[3, 4]
14.1 fp=[4] true=[3] merged=[3, 4]
14.4 fp=[4] true=[3] merged=[3, 4]
14.7 fp=[4] true=[3] merged=[3, 4]
15.0 fp=[4] true=[3] merged=[3, 4]
15.3 fp=[4] true=[3] merged=[3, 4]
15.6 fp=[4] true=[3] merged=[3, 4]
16.0 fp=[4] true=[3] merged=[3, 4]
16.3 fp=[4] true=[3] merged=[3, 4]
16.6 fp=[4] true=[3] merged=[3, 4]
16.9 fp=[4] true=[3] merged=[3, 4]
17.2 fp=[4] true=[3] merged=[3, 4]
17.5 fp=[4] true=[3] merged=[3, 4]
17.8 fp=[4] true=[3] merged=[3, 4]
18.2 fp=[1] true=[3] merged=[1, 3]
18.5 fp=[1] true=[3] merged=[1, 3]
18.8 fp=[1] true=[3] merged=[1, 3]
19.1 fp=[1] true=[3] merged=[1, 3]
19.4 fp=[1] true=[3] merged=[1, 3]
19.7 fp=[1] true=[3] merged=[1, 3]
20.0 fp=[1] true=[3] merged=[1, 3]
20.3 fp=[1] true=[3] merged=[1, 3]
20.7 fp=[1] true=[3] merged=[1, 3]
21.0 fp=[1] true=[3] merged=[1, 3]
21.3 fp=[1] true=[3] merged=[1, 3]
21.6 fp=[1] true=[3] merged=[1, 3]
21.9 fp=[1] true=[3] merged=[1, 3]
22.2 fp=[1] true=[3] merged=[1, 3]
22.5 fp=[1] true=[3] merged=[1, 3]
22.8 fp=[1] true=[3] merged=[1, 3]
23.2 fp=[1] true=[3] merged=[1, 3]
23.5 fp=[1] true=[3] merged=[1, 3]
23.8 fp=[1] true=[3] merged=[1, 3]
24.1 fp=[1] true=[3] merged=[1, 3]
24.4 fp=[1] true=[3] merged=[1, 3]
24.7 fp=[1] true=[3] merged=[1, 3]
25.0 fp=[1] true=[3] merged=[1, 3]
25.3 fp=[1] true=[3] merged=[1, 3]
25.7 fp=[1] true=[3] merged=[1, 3]
26.0 fp=[1] true=[3] merged=[1, 3]
26.3 fp=[1] true=[3] merged=[1, 3]
26.6 fp=[1] true=[3] merged=[1, 3]
26.9 fp=[1] true=[3] merged=[1, 3]
27.2 fp=[1] true=[3] merged=[1, 3]
27.5 fp=[1] true=[3] merged=[1, 3]
27.8 fp=[1] true=[3] merged=[1, 3]
28.1 fp=[1] true=[3] merged=[1, 3]
28.5 fp=[1] true=[3] merged=[1, 3]
28.8 fp=[1] true=[3] merged=[1, 3]
29.1 fp=[1] true=[3] merged=[1, 3]
29.4 fp=[1] true=[3] merged=[1, 3]
29.7 fp=[1] true=[3] merged=[1, 3]
30.0 fp=[1] true=[3] merged=[1, 3]
30.3 fp=[1] true=[3] merged=[1, 3]
30.6 fp=[1] true=[3] merged=[1, 3]
30.9 fp=[1] true=[3] merged=[1, 3]
31.3 fp=[1] true=[3] merged=[1, 3]
31.6 fp=[1] true=[3] merged=[1, 3]
31.9 fp=[1] true=[3] merged=[1, 3]
32.2 fp=[1] true=[3] merged=[1, 3]
32.5 fp=[1] true=[3] merged=[1, 3]
32.8 fp=[1] true=[3] merged=[1, 3]
33.2 fp=[1] true=[3] merged=[1, 3]
33.5 fp=[1] true=[3] merged=[1, 3]
33.8 fp=[1] true=[3] merged=[1, 3]
34.1 fp=[1] true=[3] merged=[1, 3]
34.4 fp=[1] true=[3] merged=[1, 3]
34.7 fp=[1] true=[3] merged=[1, 3]
35.0 fp=[1] true=[3] merged=[1, 3]
35.3 fp=[1] true=[3] merged=[1, 3]
35.7 fp=[1] true=[3] merged=[1, 3]
36.0 fp=[1] true=[3] merged=[1, 3]
36.3 fp=[1] true=[3] merged=[1, 3]
36.6 fp=[1] true=[3] merged=[1, 3]
36.9 fp=[1] true=[3] merged=[1, 3]
37.3 fp=[1] true=[3] merged=[1, 3]
37.6 fp=[1] true=[3] merged=[1, 3]
37.9 fp=[1] true=[3] merged=[1, 3]
38.2 fp=[2] true=[3] merged=[2, 3]
38.5 fp=[2] true=[3] merged=[2, 3]
38.8 fp=[2] true=[3] merged=[2, 3]
39.1 fp=[2] true=[3] merged=[2, 3]
39.4 fp=[2] true=[3] merged=[2, 3]
39.8 fp=[2] true=[3] merged=[2, 3]
40.1 fp=[2] true=[3] merged=[2, 3]
40.4 fp=[2] true=[3] merged=[2, 3]
40.7 fp=[2] true=[3] merged=[2, 3]
41.0 fp=[2] true=[3] merged=[2, 3]
41.3 fp=[2] true=[3] merged=[2, 3]
41.7 fp=[2] true=[3] merged=[2, 3]
42.0 fp=[2] true=[3] merged=[2, 3]
42.3 fp=[2] true=[3] merged=[2, 3]
42.6 fp=[2] true=[3] merged=[2, 3]
42.9 fp=[2] true=[3] merged=[2, 3]
43.2 fp=[2] true=[3] merged=[2, 3]
43.5 fp=[2] true=[3] merged=[2, 3]
43.8 fp=[2] true=[3] merged=[2, 3]
44.1 fp=[2] true=[3] merged=[2, 3]
44.4 fp=[2] true=[3] merged=[2, 3]
44.8 fp=[2] true=[3] merged=[2, 3]
45.1 fp=[2] true=[3] merged=[2, 3]
45.4 fp=[2] true=[3] merged=[2, 3]
45.7 fp=[2] true=[3] merged=[2, 3]
46.0 fp=[2] true=[3] merged=[2, 3]
46.3 fp=[2] true=[3] merged=[2, 3]
46.6 fp=[2] true=[3] merged=[2, 3]
46.9 fp=[2] true=[3] merged=[2, 3]
47.2 fp=[2] true=[3] merged=[2, 3]
47.6 fp=[2] true=[3] merged=[2, 3]
47.9 fp=[2] true=[3] merged=[2, 3]
48.2 fp=[2] true=[3] merged=[2, 3]
48.5 fp=[2] true=[3] merged=[2, 3]
48.8 fp=[2] true=[3] merged=[2, 3]
49.1 fp=[2] true=[3] merged=[2, 3]
49.4 fp=[2] true=[3] merged=[2, 3]
49.7 fp=[2] true=[3] merged=[2, 3]
50.0 fp=[2] true=[3] merged=[2, 3]
50.4 fp=[2] true=[3] merged=[2, 3]
50.7 fp=[2] true=[3] merged=[2, 3]
51.0 fp=[2] true=[3] merged=[2, 3]
51.3 fp=[2] true=[3] merged=[2, 3]
51.6 fp=[2] true=[3] merged=[2, 3]
51.9 fp=[2] true=[3] merged=[2, 3]
52.3 fp=[2] true=[3] merged=[2, 3]
52.6 fp=[2] true=[3] merged=[2, 3]
52.9 fp=[2] true=[3] merged=[2, 3]
53.3 fp=[2] true=[3] merged=[2, 3]
53.6 fp=[2] true=[3] merged=[2, 3]
53.9 fp=[2] true=[3] merged=[2, 3]
54.2 fp=[2] true=[3] merged=[2, 3]
54.5 fp=[2] true=[3] merged=[2, 3]
54.8 fp=[2] true=[3] merged=[2, 3]
55.2 fp=[2] true=[3] merged=[2, 3]
55.5 fp=[2] true=[3] merged=[2, 3]
55.8 fp=[2] true=[3] merged=[2, 3]
56.1 fp=[2] true=[3] merged=[2, 3]
56.4 fp=[2] true=[3] merged=[2, 3]
56.7 fp=[2] true=[3] merged=[2, 3]
57.0 fp=[2] true=[3] merged=[2, 3]
57.4 fp=[2] true=[3] merged=[2, 3]
57.7 fp=[2] true=[3] merged=[2, 3]
58.0 fp=[2] true=[3] merged=[2, 3]
58.3 fp=[2] true=[3] merged=[2, 3]
58.6 fp=[2] true=[3] merged=[2, 3]
58.9 fp=[2] true=[3] merged=[2, 3]
59.2 fp=[2] true=[3] merged=[2, 3]
59.6 fp=[2] true=[3] merged=[2, 3]
59.9 fp=[2] true=[3] merged=[2, 3]
60.2 fp=[2] true=[3] merged=[2, 3]
60.5 fp=[2] true=[3] merged=[2, 3]
60.8 fp=[2] true=[3] merged=[2, 3]
61.1 fp=[2] true=[3] merged=[2, 3]
61.4 fp=[2] true=[3] merged=[2, 3]
61.8 fp=[2] true=[3] merged=[2, 3]
62.1 fp=[2] true=[3] merged=[2, 3]
62.4 fp=[2] true=[3] merged=[2, 3]
62.7 fp=[2] true=[3] merged=[2, 3]
63.0 fp=[2] true=[3] merged=[2, 3]
63.3 fp=[2] true=[3] merged=[2, 3]
63.7 fp=[2] true=[3] merged=[2, 3]
64.0 fp=[2] true=[3] merged=[2, 3]
64.3 fp=[4] true=[3] merged=[3, 4]
64.6 fp=[4] true=[3] merged=[3, 4]
64.9 fp=[4] true=[3] merged=[3, 4]
65.3 fp=[4] true=[3] merged=[3, 4]
65.6 fp=[4] true=[3] merged=[3, 4]
