concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,2589,10,0,3.86,253.6,229,339,339,339
4,1944,30,10,15.43,168.2,198,231,258,258
16,2779,120,40,43.18,240.7,212,343,349,369
32,4085,160,160,39.17,341.5,336,430,456,484
64,6977,320,320,45.86,573.3,589,691,738,778
