arm,rate,seed,dur,leader_changes,target_led_s,fp_events,fp_on_leader,demotions,demote_TP,demote_FP,safety_viol,final_leader
A,0,1,120,0,0.0,0,0,0,0,0,0,0
C,0,1,120,0,0.0,0,0,0,0,0,0,0
D,0,1,120,0,0.0,0,0,0,0,0,0,0
A,20,1,120,0,0.0,31,0,0,0,0,0,0
C,20,1,120,0,0.0,31,0,0,0,0,0,0
D,20,1,120,0,0.0,31,0,0,0,0,0,0
