concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,7206,15,0,2.08,468.3,462,537,537,537
2,5733,30,0,5.23,371.3,362,418,418,418
4,5576,60,0,10.76,332.7,348,602,606,606
8,4610,120,0,26.03,279.9,232,446,456,472
16,5857,240,0,40.98,344.9,338,459,532,621
