concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,7403,15,0,2.03,481.7,426,1271,1271,1271
2,5089,30,0,5.90,330.2,328,373,377,377
4,4032,60,0,14.88,254.7,231,400,402,402
8,3960,120,0,30.30,216.9,204,347,372,416
16,4943,240,0,48.55,287.2,277,386,468,542
