concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6112,15,0,2.45,398.6,412,476,476,476
2,4230,30,0,7.09,267.6,281,356,360,360
4,4810,60,0,12.47,293.0,303,388,393,393
8,5081,120,0,23.62,320.8,320,357,366,367
16,5143,240,0,46.67,305.4,264,443,462,472
