concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,4959,20,0,4.03,241.2,236,299,299,299
2,4117,20,20,4.86,196.9,196,249,249,249
4,3909,40,40,10.23,184.4,202,277,278,278
8,4473,80,80,17.89,209.8,246,280,296,296
16,5980,160,160,26.76,268.3,293,347,355,361
