concurrency,duration_ms,ok,fail,tps_total,mean_latency_ms,p50,p95,p99,max
1,6259,15,0,2.40,407.4,377,712,712,712
2,4783,30,0,6.27,309.6,317,384,386,386
4,4417,60,0,13.58,279.7,296,642,643,643
8,5235,120,0,22.92,331.8,326,457,467,467
16,4587,240,0,52.32,268.2,253,388,417,452
